Corner,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_lower,gain_fo,gain_upper,gain_db,freq,f_lower,f_upper,s11_db,s12_db,s21_db,s22_db,s11_rad,s12_rad,s21_rad,s22_rad,Kf,nf_db,iip3_dbm
tsmc065_ff,0.0,0.7870245,0.5886503,0.2922225,0.003998922,1.0,0.003998922,0.001006993,0.02140865,0.002840548,0.3961413,0.04708993,6.893129e-14,3.226413e-14,4.527921,10.46842,10.24292,7.527921,1000000000.0,50000000.0,2000000000.0,-16.7738,-69.4188,-88.611,-5.483699999999999e-07,-1.55255,-0.198004,-0.192038,-3.14159,4.983892689670452,3.920706,4.650130248915062
tsmc065_ff,8.0,0.7862952,0.5852035,0.2931722,0.004001865,1.0,0.004001865,0.001008467,0.02103169,0.002797693,0.3902689,0.04849885,6.912866e-14,3.224832e-14,4.506465,10.38516,10.1551,7.506465,1000000000.0,50000000.0,2000000000.0,-16.7582,-69.4611,-88.6413,-5.49883e-07,-1.51935,-0.199417,-0.193348,-3.14159,5.043416654111134,4.02865,4.51618272040912
tsmc065_ff,16.0,0.7855559,0.5818252,0.2941314,0.004004724,1.0,0.004004724,0.001009911,0.02065772,0.002755614,0.384402,0.04990751,6.932762999999999e-14,3.223252e-14,4.484582,10.30054,10.06586,7.484582,1000000000.0,50000000.0,2000000000.0,-16.732,-69.5042,-88.6708,-5.51424e-07,-1.48567,-0.200846,-0.194671,-3.14159,5.103581705865047,4.137179,4.4021656710138615
tsmc065_ff,24.0,0.7848058,0.5785111,0.2951013,0.004007505,1.0,0.004007505,0.001011305,0.02028798,0.002714389,0.3785409,0.05131536,6.952682e-14,3.2216830000000003e-14,4.462388,10.2149,9.975591,7.462388,1000000000.0,50000000.0,2000000000.0,-16.6949,-69.5478,-88.6993,-5.52993e-07,-1.45174,-0.202288,-0.196007,-3.14159,5.164066163945466,4.246143,4.305293990451418
tsmc065_ff,32.0,0.7840446,0.5752576,0.2960821,0.00401021,1.0,0.00401021,0.001012661,0.01992392,0.002674142,0.3726858,0.05272207,6.972544e-14,3.2201309999999995e-14,4.440036,10.12872,9.884742,7.440036,1000000000.0,50000000.0,2000000000.0,-16.6469,-69.5917,-88.7268,-5.54588e-07,-1.4178,-0.20374,-0.197351,-3.14159,5.224697315198515,4.355348,4.223300330881571
tsmc065_ff,40.0,0.7832721,0.5720617,0.2970744,0.004012843,1.0,0.004012843,0.001013979,0.01956647,0.002634939,0.3668368,0.05412723,6.99228e-14,3.218602e-14,4.417635,10.0423,9.793646,7.417635,1000000000.0,50000000.0,2000000000.0,-16.5883,-69.6358,-88.7532,-5.56209e-07,-1.38404,-0.205199,-0.198701,-3.14159,5.285326215031611,4.464648,4.15426554335383
tsmc065_ff,48.0,0.7824878,0.5689208,0.2980786,0.004015408,1.0,0.004015408,0.00101526,0.01921627,0.002596823,0.3609942,0.05553041,7.011834e-14,3.217098e-14,4.395277,9.955913,9.702579,7.395277,1000000000.0,50000000.0,2000000000.0,-16.5194,-69.6798,-88.7785,-5.57853e-07,-1.35064,-0.206663,-0.200056,-3.14159,5.3457100818286545,4.573915,4.0965890558776294
tsmc065_ff,56.0,0.7816913,0.5658327,0.2990952,0.004017907,1.0,0.004017907,0.001016506,0.01887379,0.002559821,0.3551581,0.05693115,7.031165e-14,3.215624e-14,4.373041,9.869786,9.611772,7.373041,1000000000.0,50000000.0,2000000000.0,-16.4407,-69.7237,-88.8026,-5.595209999999999e-07,-1.31774,-0.208131,-0.201414,-3.14159,5.405764868150524,4.683033,4.048943312268207
tsmc065_ff,64.0,0.7808825,0.5627952,0.3001246,0.004020342,1.0,0.004020342,0.001017719,0.01853934,0.002523947,0.3493287,0.05832903,7.050245e-14,3.21418e-14,4.350996,9.784109,9.521419,7.350996,1000000000.0,50000000.0,2000000000.0,-16.3529,-69.7673,-88.8254,-5.61211e-07,-1.28547,-0.2096,-0.202774,-3.14159,5.465255239411244,4.791902,4.010167091305519
tsmc065_ff,72.0,0.7800609,0.5598066,0.3011671,0.004022716,1.0,0.004022716,0.0010189,0.01821311,0.002489205,0.3435061,0.05972357,7.06905e-14,3.212768e-14,4.329201,9.69904,9.431685,7.329201,1000000000.0,50000000.0,2000000000.0,-16.2567,-69.8105,-88.8469,-5.629229999999999e-07,-1.25393,-0.211069,-0.204134,-3.14159,5.524084507867484,4.900432,3.9793120430079796
tsmc065_ff,80.0,0.7792265,0.5568653,0.302223,0.004025032,1.0,0.004025032,0.001020053,0.01789519,0.002455591,0.3376905,0.06111432,7.087564e-14,3.211389e-14,4.307706,9.614713,9.342706,7.307706,1000000000.0,50000000.0,2000000000.0,-16.1528,-69.8532,-88.8671,-5.646569999999999e-07,-1.2232,-0.212537,-0.205493,-3.14159,5.582155140610332,5.008542,3.9555657287367296
tsmc065_ff,88.0,0.778379,0.5539699,0.3032928,0.00402729,1.0,0.00402729,0.001021179,0.01758558,0.002423092,0.3318821,0.06250078,7.105776e-14,3.210044e-14,4.286554,9.531234,9.254594,7.286554,1000000000.0,50000000.0,2000000000.0,-16.042,-69.8954,-88.886,-5.664119999999999e-07,-1.19335,-0.214003,-0.20685,-3.14159,5.639423553626659,5.116164,3.9381899188338565
tsmc065_ff,96.0,0.777518,0.5511192,0.3043767,0.004029495,1.0,0.004029495,0.001022279,0.0172842,0.002391692,0.3260809,0.06388244,7.123679e-14,3.208733e-14,4.26578,9.448691,9.167438,7.26578,1000000000.0,50000000.0,2000000000.0,-15.9251,-69.937,-88.9035,-5.681879999999999e-07,-1.16442,-0.215465,-0.208205,-3.14159,5.695730597186596,5.223239,3.9265941682672008
