Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
41,1.2642604807317148,0.04511298073171469,0.0,0.0,0.0,1.2191475,
42,1.2572306078446154,0.04168460784461535,0.0,0.0,0.0,1.215546,
43,1.2425462438200152,0.11367674382001525,0.0,0.0,0.0,1.1288695,
44,1.2397048314305104,0.08004983143051032,0.0,0.0,0.0,1.159655,
45,1.241084199804327,0.05613619980432697,0.0,0.0,0.0,1.184948,
46,1.2438415826673477,0.04465758266734762,0.0,0.0,0.0,1.199184,
47,1.2402907403678338,0.0403807403678338,0.0,0.0,0.0,1.19991,
48,1.2249961839547012,0.13632218395470125,0.0,0.0,0.0,1.088674,
49,1.219902875797061,0.09826337579706095,0.0,0.0,0.0,1.1216395,
50,1.2186745951609192,0.06737559516091948,0.0,0.0,0.0,1.1512989999999999,
51,1.221893935325151,0.0481849353251512,0.0,0.0,0.0,1.173709,
52,1.2236373485937435,0.04049234859374344,0.0,0.0,0.0,1.1831450000000001,
53,1.232155467938558,0.037220263154262766,0.0,0.013956704784295226,0.0,1.1809785,
54,1.1781569220751982,0.2360579220751982,0.0,0.0,0.0,0.9420989999999999,
55,1.1655960122593734,0.18928001225937335,0.0,0.0,0.0,0.976316,
56,1.1551462730986852,0.1449112730986852,0.0,0.0,0.0,1.010235,
57,1.1471211122423375,0.10380661224233757,0.0,0.0,0.0,1.0433145,
58,1.1422870967721082,0.06772609677210824,0.0,0.0,0.0,1.0745609999999999,
59,1.1421509096513742,0.040436909651374364,0.0,0.0,0.0,1.1017139999999999,
60,1.1460434964505652,0.026486496450565274,0.0,0.0,0.0,1.119557,
61,1.167454672878304,0.02217407789269501,0.0,0.022135094985608818,0.0,1.1231455000000001,
62,1.1066515842804485,0.23546508428044863,0.0,0.0,0.0,0.8711865,
63,1.0916640833818705,0.18765008338187053,0.0,0.0,0.0,0.904014,
64,1.07886876937305,0.14220226937304994,0.0,0.0,0.0,0.9366665000000001,
65,1.0685082176992724,0.09979071769927235,0.0,0.0,0.0,0.9687175,
66,1.0611859127381826,0.06174341273818248,0.0,0.0,0.0,0.9994425000000001,
67,1.0583582823424582,0.031174282342458188,0.0,0.0,0.0,1.027184,
68,1.0612621902340444,0.01339269023404436,0.0,0.0,0.0,1.0478695,
69,1.1000383372527769,0.008011944912305917,0.0,0.03708739234047087,0.0,1.054939,
70,1.043808442624386,0.22430144262438603,0.0,0.0,0.0,0.819507,
71,1.0271177489547574,0.17620324895475742,0.0,0.0,0.0,0.8509145,
72,1.012728245407227,0.13054724540722695,0.0,0.0,0.0,0.882181,
73,1.0008696716404752,0.08795517164047528,0.0,0.0,0.0,0.9129145,
74,0.992157407172667,0.049732407172666984,0.0,0.0,0.0,0.942425,
75,0.9881336535715092,0.018944653571509207,0.0,0.0,0.0,0.969189,
76,0.9904671740250321,0.001181674025032109,0.0,0.0,0.0,0.9892855,
77,1.019365963113042,0.0,0.0,0.023067963113042114,0.0,0.996298,
78,0.9994668580114756,0.22601335801147565,0.0,0.0,0.0,0.7734535,
79,0.9809921158933136,0.17757211589331354,0.0,0.0,0.0,0.80342,
80,0.9648186771572932,0.13153367715729314,0.0,0.0,0.0,0.833285,
