n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
42,5.412832933756893e-05,2.7613981837747933e-05,45.12833035593898,3459.713690962777,1000000000.0,0.5047470000000001,0.0039262,1.499,0.49427980000000005,1.7379,15.8892,-20.3755,13.512157588250401,10.263909578231601,0.0002540343,0.0017546999999999999
43,6.766041167196115e-05,2.0710486378310948e-05,56.41041294492372,4324.642113703471,1000000000.0,0.5300046,0.0055263000000000005,1.3763,0.4952945,3.6743,18.0622,-34.8334,12.265637638558413,14.992539120408434,0.0002981297,0.0018505000000000001
44,5.0745308753970866e-05,2.5888107972888687e-05,42.30780970869279,3243.4815852776037,1000000000.0,0.5043277,0.0035111,1.5309,0.4939173,1.1805,15.1634,-18.1964,14.093469427346836,8.607897187979265,0.00024072059999999997,0.0016698
45,6.343163594246359e-05,2.0947347692064238e-05,52.884762135865984,4054.351981597005,1000000000.0,0.5258018,0.0049875,1.4177,0.4948893,5.408,17.4237,-31.1541,12.672556487189278,15.868299651494471,0.0002839313,0.0017975
46,7.928954492807949e-05,2.61841846150803e-05,66.10595266983248,3452.1752564126496,1000000000.0,0.5283558,0.007598499999999999,1.4032,0.4958792,2.7163,17.6499,-23.3966,11.074803308750491,14.208464712591727,0.0003496216,0.0022006
47,5.9467158696059615e-05,3.273023076885037e-05,49.57946450237436,3611.353456483664,1000000000.0,0.5020808,0.0046595000000000004,1.4606,0.49482950000000003,2.0284,16.5601,-24.6544,12.666305764764289,11.7514905127107,0.0002762072,0.0019194000000000001
48,7.433394837007452e-05,2.454767307663778e-05,61.974330627967944,4514.19182060458,1000000000.0,0.5275096,0.006528,1.3245,0.4960374,2.1943,18.7442,-26.4662,11.506525855419362,14.652906130307382,0.00032340399999999995,0.0020241
49,5.575046127755589e-05,3.0684591345797226e-05,46.480747970975955,3941.913111176008,1000000000.0,0.5015918,0.0041023,1.4521,0.494692,1.8548,16.71,-21.5518,13.15378034431147,11.489778866824436,0.00025921390000000004,0.001802
50,6.968807659694487e-05,2.3013443509347918e-05,58.10093496371994,4927.39138897001,1000000000.0,0.5267581,0.0057431,1.313,0.49584429999999996,2.6051,18.8865,-31.587,11.969216231289693,14.987885063603379,0.00030336309999999994,0.001899
51,5.226605744770865e-05,2.8766804386684897e-05,43.57570122278996,3695.5435417275075,1000000000.0,0.5011556,0.0036760000000000004,1.4882,0.4943044,1.3054,16.0788,-19.121,13.699376149728925,9.966181762253067,0.00024592339999999997,0.0017181
52,6.53325718096358e-05,2.1575103290013674e-05,54.46962652848745,4619.429427159384,1000000000.0,0.5260852,0.0051681999999999995,1.3617,0.4953216,3.9866,18.2773,-34.2001,12.434230693596742,15.48524893569806,0.00028838510000000003,0.0018156000000000001
53,4.8999428857226854e-05,2.6968879112517093e-05,40.85221989636559,3464.5720703695383,1000000000.0,0.5007628000000001,0.0032885,1.5211,0.49394540000000003,0.8297401999999999,15.3893,-17.193,14.278325486196316,8.430655071416526,0.0002330949,0.0016357
54,6.124928607153356e-05,2.1351284258519988e-05,51.06527487045699,4330.715087961923,1000000000.0,0.5229684,0.0046593,1.4048,0.4948957,5.3438,17.6439,-27.8599,12.867657410533628,15.965254496145505,0.0002744853,0.0017549
55,7.656160758941696e-05,2.6689105323149983e-05,63.831593588071236,4931.398104213894,1000000000.0,0.5253599000000001,0.0068033,1.2744,0.49649040000000005,1.4424,19.2528,-24.5659,11.26623937611428,14.585542266718877,0.00032965809999999996,0.0020729000000000003
56,5.742120569206272e-05,3.336138165393748e-05,47.87369519105343,4002.998356927862,1000000000.0,0.4994255,0.0043339,1.4376,0.4948952,1.7478,16.8713,-22.8216,12.869125213225345,11.726496283517163,0.0002663055,0.0018623000000000001
57,7.17765071150784e-05,2.502103624045311e-05,59.842118988816786,5003.747946159828,1000000000.0,0.5245694,0.006056300000000001,1.2936,0.49611649999999996,2.2318,19.0694,-28.9101,11.709109182098327,14.962736567782569,0.0003113659,0.0019641
58,5.38323803363088e-05,3.1276295300566386e-05,44.88158924161259,3752.810959619871,1000000000.0,0.49896830000000003,0.0038866,1.475,0.494497,1.1958,16.2822,-20.1033,13.399021374810896,10.254974862156597,0.0002527692,0.001777
59,6.7290475420386e-05,2.3457221475424788e-05,56.10198655201573,4691.013699524839,1000000000.0,0.5238643,0.0054548,1.3439,0.4955811,3.5593,18.4993,-34.6071,12.158568391276592,15.457693851255883,0.000296136,0.0018794
60,5.04678565652895e-05,2.9321526844280983e-05,42.0764899140118,3518.2602746436287,1000000000.0,0.49855810000000006,0.0034796000000000002,1.5091,0.49412860000000003,0.7144437,15.6308,-17.9887,13.96209756390624,8.764499455724543,0.0002396987,0.0016931000000000001
61,6.308482070661188e-05,2.1991145133210737e-05,52.59561239251475,4397.825343304536,1000000000.0,0.5232346,0.004904,1.3899,0.4950833,4.9142,17.8718,-30.5227,12.639255528313596,15.896963475856895,0.0002813831,0.0017956
62,7.885602588326484e-05,2.748893141651342e-05,65.74451549064344,3624.402754895075,1000000000.0,0.5257529,0.0075032,1.3864,0.4959917,2.7022,17.9064,-23.658,11.046714507622308,14.509431408192606,0.0003473675,0.0022058
63,5.914201941244863e-05,3.436116427064178e-05,49.30838661798258,3378.5358616636518,1000000000.0,0.49965210000000004,0.0046657,1.4803,0.4947324,1.4607,16.1748,-24.1966,12.680160374935712,10.774856819979892,0.0002767794,0.0019432000000000002
64,7.392752426556079e-05,2.5770873202981336e-05,61.635483272478226,4223.169827079564,1000000000.0,0.5249193,0.00655,1.3512,0.49590730000000005,2.8174,18.3965,-27.1129,11.484873270647773,14.938801815158715,0.0003243592,0.0020561
65,5.544564319917059e-05,3.2213591503726667e-05,46.22661245435867,3281.9402564530033,1000000000.0,0.4991707,0.0041629,1.5044,0.4944037,0.9657504,15.7169,-21.1595,13.209234970704385,9.504602350576668,0.00026189999999999997,0.0018459000000000001
66,6.930705399896324e-05,2.4160193627795e-05,57.78326556794834,4102.425320566254,1000000000.0,0.5241771,0.0058612000000000004,1.3839,0.4954611,4.0422,17.9539,-32.8889,11.945970900298228,15.46071675276361,0.00030733519999999996,0.0019567
67,5.198029049922243e-05,3.020024203474375e-05,43.337449175961254,3076.818990424691,1000000000.0,0.4987406,0.0037233,1.5356,0.49404539999999997,0.46130040000000005,15.0226,-18.8307,13.783296517217247,7.9380633790256185,0.0002482101,0.0017571000000000002
68,6.497536312402803e-05,2.5593983617377117e-05,54.171811469951564,3846.0237380308636,1000000000.0,0.5178848,0.005306300000000001,1.4233,0.49509640000000005,5.0571,17.3344,-32.6905,12.302333129534366,15.679902809769523,0.0002932708,0.0019186000000000001
69,8.121920390503504e-05,1.9195487713032837e-05,67.71476433743945,4807.52967253858,1000000000.0,0.5447525000000001,0.007415700000000001,1.2735,0.49641250000000003,0.1070594,19.3341,-21.301,11.292254637592121,13.127056855412839,0.0003433186,0.0019936
70,6.0914402928776275e-05,2.3994359641291046e-05,50.786073253079586,6009.412090673224,1000000000.0,0.517299,0.004423,1.2767,0.49573849999999997,3.3915,19.1535,-27.5211,12.812061118281001,15.710907353464446,0.0002664087,0.0017196
71,7.614300366097035e-05,2.9992949551613808e-05,63.482591566349484,4507.059068004918,1000000000.0,0.5196438000000001,0.0068836,1.3113,0.49635039999999997,2.2861,18.7797,-25.273,11.170211988592218,15.026176669469015,0.0003322368,0.0021425999999999997
72,5.710725274572776e-05,3.749118693951726e-05,47.61194367476211,3380.294301003689,1000000000.0,0.49404000000000003,0.0044138,1.4867,0.4946648,0.5884846,15.9482,-22.2913,12.848224334224359,9.611781634030798,0.0002696586,0.0019295
73,7.138406593215971e-05,2.8118390204637947e-05,59.514929593452635,4225.3678762546115,1000000000.0,0.5188680000000001,0.0062001,1.3599,0.49581169999999997,3.6222,18.2348,-30.1247,11.608180148360706,15.562567102573864,0.00031600959999999995,0.0020507
74,5.353804944911978e-05,3.514798775579744e-05,44.63619719508948,3169.0259071909586,1000000000.0,0.49359210000000003,0.003952,1.5194,0.4942961,0.10232240000000001,15.3247,-19.7272,13.400440785315087,8.151774980039411,0.00025573939999999997,0.0018389
75,6.692256181139972e-05,2.6360990816848078e-05,55.79524649386185,3961.2823839886983,1000000000.0,0.5181763,0.0055743,1.4043,0.49531240000000004,4.7745,17.63,-34.6105,12.077208914203098,15.829717410771625,0.0003002943,0.0019598
76,8.365320226424965e-05,1.9770743112636057e-05,59.215942239998824,4456.176515711088,1000000000.0,0.5441032,0.006751,1.292,0.496135,0.9677965000000001,19.1097,-30.7481,11.643681414820215,13.23004622727576,0.0003557867,0.0020707
77,6.273990169818724e-05,2.471342889079507e-05,44.41195667999912,5570.220644638859,1000000000.0,0.516942,0.004026399999999999,1.295,0.4955319,4.2211,18.9801,-19.8192,13.238154989357929,15.763186382776261,0.00027611849999999996,0.001787
78,7.842487712273404e-05,3.089178611349384e-05,55.5149458499989,4177.665483479144,1000000000.0,0.5190654,0.0062695,1.3282,0.4960888,3.2948,18.6,-32.4913,11.533108313898389,15.306872163843416,0.0003444443,0.0022275
79,5.881865784205053e-05,3.86147326418673e-05,41.63620938749918,3133.2491126093582,1000000000.0,0.4937187,0.0040108,1.4982,0.4944931,0.7594653,15.74,-17.2244,13.315616169957636,8.930874229430195,0.0002792704,0.0020028999999999997
80,7.352332230256317e-05,2.8961049481400473e-05,52.04526173437397,3916.5613907616976,1000000000.0,0.5183628,0.0056427,1.3753,0.495576,4.5703,18.0335,-27.4587,11.996443198438946,15.738585603354952,0.0003274959,0.0021307
81,5.514249172692238e-05,3.370859090082674e-05,41.18927783392639,3130.5234357930285,1000000000.0,0.49657290000000004,0.0037374,1.5159,0.4942367,0.712929,15.4482,-17.1049,13.692247266626165,8.465860335850516,0.00026258479999999995,0.0018689
82,6.892811465865298e-05,2.5281443175620053e-05,51.486597292407986,3913.1542947412854,1000000000.0,0.5212483,0.0052705,1.3994,0.4952297,5.105,17.7168,-27.3415,12.347505963574106,15.844748325319578,0.00030833019999999996,0.0019866
83,5.1696085993989735e-05,2.816455923453744e-05,43.83446596605151,3389.204000014358,1000000000.0,0.5015824,0.0036941,1.5144,0.4941294,1.0173,15.5392,-19.3304,13.768712947616951,9.08693372342299,0.00024474539999999996,0.0017119
84,6.462010749248716e-05,2.112341942590308e-05,54.79308245756439,4236.505000017947,1000000000.0,0.5265283,0.0052088,1.3972,0.4950888,4.6747,17.7553,-34.865,12.471208845386181,15.626558163198405,0.0002874294,0.0018119000000000002
85,4.846508061936537e-05,2.6404274282378853e-05,41.09481184317329,3177.3787500134604,1000000000.0,0.5011918,0.0033014000000000003,1.5448,0.49378370000000005,0.553193,14.8074,-17.3626,14.363497388359987,7.507200427973021,0.00023184049999999998,0.0016283
86,6.0581350774206714e-05,2.5158006364862937e-05,51.36851480396661,3971.7234375168255,1000000000.0,0.5149104,0.0047513,1.4326,0.4948699,4.526,17.1752,-27.8881,12.71007422762803,14.828516363184518,0.0002755348,0.0018231
87,7.572668846775839e-05,1.8868504773647204e-05,64.21064350495827,4964.654296896032,1000000000.0,0.5412899999999999,0.0066443000000000006,1.2862,0.4960997,0.7375193000000001,19.2037,-23.6074,11.651264800218598,13.511355945136259,0.00032256479999999996,0.0018991000000000001
88,5.679501635081879e-05,2.3585630967059005e-05,48.1579826287187,6205.81787112004,1000000000.0,0.5143841,0.0039613999999999995,1.2895,0.49551510000000004,3.7465,18.9854,-24.0504,13.22543160283244,15.73365695653194,0.00025029619999999996,0.0016341
89,7.099377043852349e-05,2.8220201736206297e-05,60.19747828589837,4654.36340334003,1000000000.0,0.5184788,0.0061544,1.3242,0.49602820000000003,3.0028,18.6458,-28.7462,11.58633333082375,15.435663164432762,0.0003118156,0.0020194
90,5.3245327828892616e-05,3.527525217025787e-05,45.14810871442378,3490.7725525050228,1000000000.0,0.4932112,0.0039386000000000004,1.4955,0.4944464,0.25443150000000003,15.7913,-20.2216,13.324191125273966,8.8994192808097,0.0002528702,0.0018158000000000002
91,6.655665978611577e-05,2.64564391276934e-05,56.435135893029724,4363.465690631278,1000000000.0,0.5177843000000001,0.00554,1.3717,0.49551270000000003,4.215,18.0858,-34.2972,12.039614419961142,15.82130518820896,0.0002965018,0.0019319
92,4.991749483958683e-05,2.6315107450560813e-05,48.351422900192205,3679.1977917468657,1000000000.0,0.5031941,0.0038985,1.5034,0.49421210000000004,1.0773,15.7922,-24.1215,13.503134662322822,9.854285043090602,0.0002349845,0.0016326000000000001
93,6.239686854948355e-05,1.973633058792061e-05,60.439278625240256,4598.997239683582,1000000000.0,0.5283196,0.00549,1.3823,0.49520420000000004,3.7072,17.9838,-27.1713,12.272609256161198,15.277468541085991,0.00027581709999999996,0.0017244
94,4.679765141211266e-05,2.467041323490076e-05,45.32945896893019,3449.2479297626865,1000000000.0,0.5027778,0.0034859,1.5348,0.4938512,0.5619404,15.0696,-20.9834,14.07819688290437,8.25014878416701,0.0002226596,0.0015535000000000002
95,5.849706426514082e-05,2.1120192500274775e-05,56.66182371116274,4311.559912203358,1000000000.0,0.5215348000000001,0.004973099999999999,1.4215,0.4948675,5.1072,17.3761,-33.8329,12.60884815009949,15.915301044820865,0.00026327569999999996,0.0016962
96,7.312133033142602e-05,2.6248953553169293e-05,70.82727963895343,5389.449890254198,1000000000.0,0.5243246,0.007154300000000001,1.2556,0.4966971,0.7753324,19.4036,-19.5291,11.070172829315759,14.500676353230329,0.00031343869999999994,0.0019765
97,5.484099774856952e-05,3.2811191941461614e-05,53.12045972921507,4182.617894577045,1000000000.0,0.49831369999999997,0.0045934,1.4383,0.4949545,1.2757,16.8267,-30.9508,12.603985453471536,11.68910761096467,0.0002543634,0.0017856
98,6.85512471857119e-05,2.4608393956096212e-05,66.40057466151885,5228.272368221306,1000000000.0,0.5234902,0.0064188000000000005,1.2946,0.4961992,1.8,19.0408,-21.8869,11.485680905100358,14.94179743253591,0.00029739229999999994,0.0018852
99,5.141343538928392e-05,3.076049244512027e-05,49.800430996139134,3921.2042761659795,1000000000.0,0.49783120000000003,0.0041202,1.4756,0.4945489,0.7114513,16.2479,-25.7713,13.118654108893239,10.229297792082189,0.00024146459999999998,0.0017041
100,6.426679423660491e-05,2.30703693338402e-05,62.25053874517392,4901.505345207474,1000000000.0,0.5227461,0.0057821,1.3447,0.4956548,3.1279,18.4815,-25.2372,11.920126483603948,15.461847842504177,0.0002828724,0.0018043
