Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
39,0.0007941419,5.274559,14.07449,2.274559,13.19733,1000000.0,2000000000.0,-1.7966026146381253,-3.2651,-66.2184,-84.5326,-9.23568e-07,2.624149584218528,5.383504,0.003368252,0.01570053,0.05533726,0.6133346,0.4139077,0.2332455,
40,0.0007879761,5.295489,14.09904,2.295489,13.20647,1000000.0,2000000000.0,-1.6177486946478226,-3.27227,-66.1853,-84.5446,-9.297679999999999e-07,2.6347369304976356,5.388474,0.003341368,0.01560787,0.05520106,0.6096618,0.4138668,0.2309157,
41,0.0007821228,5.3544339999999995,14.08219,2.354434,13.17827,1000000.0,2000000000.0,-1.7981242787937788,-3.2521,-66.1792,-84.5006,-9.312889999999999e-07,2.620243123007128,5.393463,0.003318138,0.01551283,0.0550717,0.610462,0.4125926,0.2320158,
42,0.0007757868,5.410456,14.07401,2.410456,13.15236,1000000.0,2000000000.0,-1.8757235255706206,-3.24038,-66.1661,-84.4758,-9.33544e-07,2.612658022230371,5.395801,0.003291664,0.01541296,0.05495351,0.6108044,0.4123068,0.2328262,
43,0.0007693559,5.408457,14.06532,2.408457,13.13012,1000000.0,2000000000.0,-1.937209271242672,-3.24891,-66.1336,-84.4324,-9.37552e-07,2.6067137398641735,5.384911,0.003264519,0.01530638,0.05482137,0.6109709,0.4123441,0.2335329,
44,0.0007629391,5.466188,14.06308,2.466188,13.1164,1000000.0,2000000000.0,-1.9763939272384476,-3.23432,-66.1168,-84.4138,-9.41671e-07,2.6025059391921816,5.391596,0.003237256,0.01520177,0.05472001,0.6111592,0.4125011,0.2341894,
45,0.0007566173,5.520697999999999,14.05602,2.520698,13.09665,1000000.0,2000000000.0,-2.0068804397864497,-3.22019,-66.1042,-84.395,-9.45397e-07,2.5984204974677243,5.398785,0.003210461,0.01509251,0.054619,0.6113768,0.4127064,0.234827,
46,0.0007504346,5.573713,14.04775,2.573713,13.07353,1000000.0,2000000000.0,-2.028403656382416,-3.20613,-66.0946,-84.3771,-9.482379999999999e-07,2.593323011211752,5.405219,0.003184208,0.01499161,0.0544726,0.6113699,0.4129017,0.2354772,
47,0.000744397,5.627256,14.04171,2.627256,13.04835,1000000.0,2000000000.0,-2.052441028038686,-3.19388,-66.0849,-84.3651,-9.506189999999999e-07,2.5890342807626445,5.410899,0.003158575,0.01489464,0.0543598,0.6114439,0.4130375,0.2360975,
48,0.0007384415,5.678126,14.03383,2.678126,13.02654,1000000.0,2000000000.0,-2.0803615501321673,-3.18091,-66.0744,-84.347,-9.537769999999999e-07,2.5845299635450467,5.417621,0.003133416,0.01479377,0.05424219,0.6115018,0.4131584,0.2366813,
