Corner,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_lower,gain_fo,gain_upper,gain_db,freq,f_lower,f_upper,s11_db,s12_db,s21_db,s22_db,s11_rad,s12_rad,s21_rad,s22_rad,Kf,nf_db,iip3_dbm
tsmc065_ff,120.0,0.7698038,0.5487639,0.3115328,0.004107877,1.0,0.004107877,0.001040757,0.01666851,0.002349191,0.310006,0.06810769,7.254208e-14,3.233413e-14,4.285859,9.318508,9.021181,7.285859,1000000000.0,50000000.0,2000000000.0,-15.5705,-69.968,-88.8182,-5.74853e-07,-1.10084,-0.221274,-0.213727,-3.14159,5.726459764608289,5.492453,4.1136314288874445
tsmc065_ss,-40.0,0.7160983,0.8695846,0.381914,0.003863304,1.0,0.003863304,0.0009197306,0.02011411,0.002321976,0.5876571,0.0440973,7.072907e-14,2.8415870000000002e-14,8.917964,12.69403,12.25514,11.917964,1000000000.0,50000000.0,2000000000.0,-14.7082,-66.6487,-87.1862,-7.40916e-07,-1.2108,-0.291845,-0.285429,-3.14159,4.201037668592397,3.203752,11.690331913105595
tsmc065_ss,-32.0,0.7151323,0.8654981,0.383135,0.003865944,1.0,0.003865944,0.0009199366,0.01996842,0.002303001,0.581858,0.04553424,7.067224e-14,2.84218e-14,8.91825,12.67604,12.23149,11.91825,1000000000.0,50000000.0,2000000000.0,-14.672,-66.6535,-87.206,-7.42487e-07,-1.20295,-0.293247,-0.286795,-3.14159,4.221728069767089,3.274362,11.169966347973812
tsmc065_ss,-24.0,0.7141826,0.8615766,0.3843237,0.003868218,1.0,0.003868218,0.0009209537,0.01980113,0.002283773,0.5760548,0.04697933,7.06824e-14,2.842394e-14,8.91538,12.65035,12.19995,11.91538,1000000000.0,50000000.0,2000000000.0,-14.6263,-66.6626,-87.2226,-7.440699999999999e-07,-1.19309,-0.294703,-0.288204,-3.14159,4.24312885394483,3.348115,10.605991698601741
tsmc065_ss,-16.0,0.7132234,0.8578049,0.3855146,0.003870291,1.0,0.003870291,0.0009219708,0.0196047,0.002263103,0.5702566,0.04842599,7.073556e-14,2.842368e-14,8.908435,12.61515,12.15852,11.908435,1000000000.0,50000000.0,2000000000.0,-14.5699,-66.6771,-87.2383,-7.45721e-07,-1.1808,-0.29624,-0.289685,-3.14159,4.267179103045188,3.425757,10.059305581675844
tsmc065_ss,-8.0,0.71225,0.85417,0.3867143,0.003872196,1.0,0.003872196,0.0009229185,0.019384,0.002241262,0.5644651,0.04987349,7.082185e-14,2.84216e-14,8.89796,12.57168,12.10848,11.89796,1000000000.0,50000000.0,2000000000.0,-14.5033,-66.6963,-87.253,-7.47439e-07,-1.1665,-0.297851,-0.29123,-3.14159,4.293467883528031,3.506835,9.562703474570782
tsmc065_ss,0.0,0.7112598,0.8506616,0.3879259,0.003873949,1.0,0.003873949,0.0009237931,0.01914425,0.002218599,0.5586814,0.05132156,7.093425e-14,2.841811e-14,8.884536,12.52131,12.05124,11.884536,1000000000.0,50000000.0,2000000000.0,-14.4273,-66.7194,-87.2665,-7.4922e-07,-1.1506,-0.299526,-0.292832,-3.14159,4.321471591192327,3.590851,9.127678038343078
tsmc065_ss,8.0,0.710286,0.8472708,0.3891052,0.003875339,1.0,0.003875339,0.0009258007,0.01891127,0.002197819,0.5528932,0.05278116,7.108388e-14,2.841259e-14,8.87156,12.47108,11.99432,11.87156,1000000000.0,50000000.0,2000000000.0,-14.3474,-66.742,-87.2755,-7.50968e-07,-1.13487,-0.301191,-0.294423,-3.14159,4.346855340546082,3.674818,8.754573123038853
tsmc065_ss,16.0,0.7092593,0.8439904,0.3903451,0.003876808,1.0,0.003876808,0.0009265935,0.01864711,0.002174477,0.5471261,0.05423046,7.123383e-14,2.8407140000000003e-14,8.853871,12.41059,11.92653,11.853871,1000000000.0,50000000.0,2000000000.0,-14.2551,-66.7707,-87.2862,-7.528579999999999e-07,-1.1169,-0.302965,-0.296114,-3.14159,4.376843590356656,3.763231,8.438929336762513
tsmc065_ss,24.0,0.7081726,0.8408136,0.391655,0.0038784,1.0,0.0038784,0.0009260179,0.01835266,0.002148533,0.5413829,0.05566692,7.137918e-14,2.840207e-14,8.831273,12.33971,11.8477,11.831273,1000000000.0,50000000.0,2000000000.0,-14.1498,-66.8056,-87.2992,-7.549019999999999e-07,-1.0968,-0.30485,-0.297907,-3.14159,4.411856754026578,3.856322,8.17487696566026
