Iteration No,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,
175,0.4835731,0.0,0.0,0.0,0.0,0.4835731,
176,0.482791,0.0,0.0,0.0,0.004198499999999994,0.47859250000000003,
177,0.48228480000000007,0.0,0.0,0.0,2.1250000000083702e-05,0.48226355,
178,0.48490020000000006,0.0003064000000000178,0.0,0.0,0.0019002500000000477,0.48269354999999997,
179,0.4852916,0.0,0.0,0.0,0.0,0.4852916,
180,0.48271074999999997,0.0,0.0,0.0,0.002358749999999965,0.480352,
181,0.48332815,0.0,0.0,0.0,0.0,0.48332815,
182,0.48405054999999997,0.0013643000000000073,0.0,0.0,0.004047750000000017,0.47863849999999997,
183,0.48382563333333334,0.0,0.0,0.0007133333333333287,0.0,0.4831123,
184,0.4876714,0.0014424999999999245,0.0,0.0,0.0006962500000000649,0.48553265,
185,0.4873474,0.0,0.0,0.0,0.0,0.4873474,
186,0.48211830000000006,0.0,0.0,0.0,0.00011125000000000718,0.48200705000000005,
187,0.4832811,0.0,0.0,0.0,0.0009710000000000552,0.48231009999999996,
188,0.48345105,0.0,0.0,0.0,0.0,0.48345105,
189,0.4815746000000001,0.0,0.0,0.0,0.0031680000000000597,0.4784066,
190,0.48206384999999996,0.0,0.0,0.0,0.0,0.48206384999999996,
191,0.48171595000000006,0.0,0.0,0.0,0.004573750000000043,0.4771422,
192,0.481237,0.0,0.0,0.0,0.0005025000000000723,0.48073449999999995,
193,0.48273760000000004,0.0,0.0,0.0,0.0011535000000000295,0.4815841,
194,0.4829652,0.0,0.0,0.0,0.0,0.4829652,
195,0.4810348499999999,0.0,0.0,0.0,0.0031322499999999476,0.47790259999999996,
196,0.481597,0.0,0.0,0.0,0.0,0.481597,
197,0.4838183,0.002644100000000016,0.0,0.0,0.0045237499999999375,0.47665045,
198,0.48391330000000005,0.0,0.0,0.0027200000000000557,0.0,0.4811933,
199,0.4840945999999999,0.0,0.0,0.0,0.00016124999999989065,0.48393335,
200,0.48410165000000005,0.0,0.0,0.0,0.0,0.48410165000000005,
201,0.48217265,0.0,0.0,0.0,0.003330999999999973,0.47884165,
202,0.4823118,0.0,0.0,0.0,0.0,0.4823118,
203,0.48168985,0.0,0.0,0.0,0.004017249999999972,0.4776726,
204,0.48109035,0.0,0.0,0.0,0.0,0.48109035,
205,0.48206009999999994,0.0003453000000000373,0.0,0.0,0.005080999999999891,0.4766338,
206,0.48041164999999997,0.0,0.0,0.0,0.0,0.48041164999999997,
207,0.48395489999999985,0.0017630999999999732,0.0,0.0,0.005887999999999893,0.4763038,
208,0.48119945000000003,0.0,0.0,0.00044000000000004035,0.0,0.48075945,
209,0.4844771,0.0,0.0,0.0,0.0016917499999999919,0.48278535,
210,0.4848483,0.0,0.0,0.0,0.0,0.4848483,
211,0.4811464999999999,0.0,0.0,0.0,0.001551249999999893,0.47959525000000003,
212,0.48142315,0.0,0.0,0.0,0.0,0.48142315,
213,0.48048205000000005,0.0,0.0,0.0,0.0037320000000000686,0.47675005,
214,0.48021875,0.0,0.0,0.0,0.0,0.48021875,
215,0.4804204000000001,0.0,0.0,0.0,0.0048520000000000785,0.4755684,
216,0.47904355,0.0,0.0,0.0,0.0,0.47904355,
217,0.4807390499999999,0.0,0.0,0.0,0.006077249999999923,0.47466179999999997,
218,0.4788549999999999,0.0,0.0,0.0,0.0008047499999999097,0.47805025,
219,0.4812182499999999,0.0,0.0,0.0,0.0015179999999999083,0.47970025,
