Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
51,0.001007829,10.403734,12.59156,7.403734,12.24577,50000000.0,2000000000.0,12.39339200584999,-15.0558,-66.6427,-86.4891,-7.97374e-07,4.176864867535281,4.016998,0.004119182,0.01867926,0.05940609,0.6476111,0.6524098,0.2609247,
52,0.001014787,10.433103,12.61778,7.433103,12.27324,50000000.0,2000000000.0,12.862373106776715,-15.0254,-66.6152,-86.4264,-7.96907e-07,4.132383478625409,4.001087,0.004154812,0.01879371,0.0594818,0.6518347,0.6491213,0.2638343,
53,0.001017031,10.365079,12.58484,7.365079,12.24442,50000000.0,2000000000.0,12.687618837121505,-15.1111,-66.6676,-86.4905,-7.918099999999999e-07,4.160118408960883,4.007545,0.004161598,0.01883443,0.05946357,0.6515337,0.6519736,0.2638423,
54,0.001021644,10.414964999999999,12.61865,7.414965,12.27742,50000000.0,2000000000.0,13.054030397067024,-15.0522,-66.6253,-86.415,-7.93368e-07,4.113508540087425,3.992124,0.00418697,0.01891224,0.05951056,0.6549109,0.6482674,0.2661418,
55,0.001010081,10.387175,12.57746,7.387175,12.23313,50000000.0,2000000000.0,12.39646380490818,-15.0522,-66.6577,-86.4865,-7.94197e-07,4.1663229751302655,4.008606,0.004131264,0.01873692,0.05930901,0.6506494,0.653211,0.263746,
56,0.001015924,10.40915,12.59727,7.40915,12.2541,50000000.0,2000000000.0,12.784463455256116,-15.0277,-66.6371,-86.4356,-7.93525e-07,4.129561534357843,3.995096,0.004161224,0.01883497,0.05936165,0.6543528,0.6506386,0.2663643,
57,0.001005474,10.338263999999999,12.53528,7.338264,12.19148,50000000.0,2000000000.0,11.863521739887318,-15.0833,-66.7027,-86.5499,-7.91373e-07,4.202645546706984,4.017163,0.004108104,0.01867842,0.05915424,0.6494057,0.6573372,0.263557,
58,0.001012123,10.391593,12.57583,7.391593,12.23186,50000000.0,2000000000.0,12.494767037562028,-15.0271,-66.6558,-86.4636,-7.926580000000001e-07,4.146908433117936,3.998654,0.00414325,0.01878749,0.05923647,0.6536553,0.6529192,0.2663859,
59,0.001001784,10.319357,12.51291,7.319357,12.16842,50000000.0,2000000000.0,11.528244253744205,-15.0835,-66.7225,-86.5786,-7.90403e-07,4.220603083864162,4.020995,0.00409062,0.01863215,0.05903156,0.64869,0.6596008,0.2635575,
60,0.001008377,10.375101,12.55875,7.375101,12.21533,50000000.0,2000000000.0,12.169909825182742,-15.0331,-66.6715,-86.497,-7.92122e-07,4.167049745703012,4.002277,0.004125697,0.01874374,0.05917519,0.6530845,0.6552007,0.2663701,
61,0.00101077,10.331406000000001,12.53672,7.331406,12.19637,50000000.0,2000000000.0,12.076510079344615,-15.0832,-66.7054,-86.5315,-7.88282e-07,4.1789812516386995,4.003565,0.004135298,0.01878824,0.05915908,0.6539528,0.6568609,0.2672326,
62,0.001012749,10.360145,12.55437,7.360145,12.21318,50000000.0,2000000000.0,12.317851724068277,-15.0454,-66.6818,-86.4893,-7.89181e-07,4.152948641023324,3.99456,0.004146836,0.01882608,0.05915714,0.6558712,0.6550191,0.268653,
63,0.001001521,10.320630000000001,12.50557,7.32063,12.16207,50000000.0,2000000000.0,11.469808763071043,-15.0561,-66.724,-86.5712,-7.89138e-07,4.211236577782365,4.012544,0.004092382,0.01865421,0.05896142,0.6516448,0.6603732,0.2663033,
64,0.001008546,10.352561999999999,12.53451,7.352562,12.19211,50000000.0,2000000000.0,12.036808855427935,-15.0254,-66.694,-86.5058,-7.88879e-07,4.164991607987319,3.996287,0.004128338,0.01877037,0.05903885,0.6559155,0.6569875,0.2692339,
65,0.0009983554,10.276686,12.46952,7.276686,12.12682,50000000.0,2000000000.0,11.050251596621209,-15.0856,-66.7637,-86.6242,-7.86378e-07,4.240690351258788,4.019316,0.004076212,0.0186165,0.05883666,0.6508267,0.6637052,0.2663043,
66,0.001005089,10.331583,12.51224,7.331583,12.16929,50000000.0,2000000000.0,11.701117950921159,-15.0302,-66.715,-86.5364,-7.87768e-07,4.18345412565865,4.000388,0.004111676,0.01872775,0.05891842,0.6551075,0.6592612,0.2691542,
67,0.001006581,10.267268999999999,12.47865,7.267269,12.13948,50000000.0,2000000000.0,11.451964219203035,-15.1079,-66.7654,-86.5986,-7.83132e-07,4.2119297334531,4.007365,0.004115461,0.01875482,0.05890302,0.654774,0.6620416,0.2691256,
68,0.00101104,10.319056,12.51469,7.319056,12.17447,50000000.0,2000000000.0,11.964151891954302,-15.0496,-66.7212,-86.5224,-7.848919999999999e-07,4.164621920706437,3.991857,0.004139961,0.01883117,0.05894577,0.6580583,0.6583803,0.2713643,
69,0.0009997344,10.286332,12.46951,7.286332,12.12657,50000000.0,2000000000.0,11.144931888241572,-15.0517,-66.758,-86.5974,-7.85318e-07,4.219742144583045,4.00914,0.004085449,0.01865748,0.05875178,0.6538109,0.6633586,0.2689716,
70,0.001005838,10.312318999999999,12.49562,7.312319,12.15186,50000000.0,2000000000.0,11.58538897982794,-15.032,-66.7334,-86.5503,-7.84769e-07,4.1830008131693,3.994808,0.004116851,0.01876351,0.05886902,0.6577931,0.6606496,0.2716528,
71,0.0009952687,10.248889,12.43456,7.248889,12.08989,50000000.0,2000000000.0,10.680358412999752,-15.0719,-66.7942,-86.6554,-7.83069e-07,4.252726637698082,4.016089,0.004064142,0.01860163,0.05867373,0.6531741,0.6668552,0.2690499,
