n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
204,7.465258567575253e-05,2.719658266649498e-05,52.855358645660466,3218.136102086976,2000000000.0,0.5221214,0.005919400000000001,1.4396,0.4952043,4.2192,15.3388,-27.7843,12.067985463057436,15.515913837547357,0.0003359625,0.0021677
205,7.429125751262395e-05,2.6826573582601734e-05,52.448761136461556,3246.839050351163,2000000000.0,0.5224650000000001,0.005842,1.4383,0.4951818,4.2511,15.3736,-27.3032,12.122107055761372,15.54758146090169,0.0003342149,0.0021528999999999997
206,7.393467931000697e-05,2.6468876285946608e-05,52.0556391856528,3275.1858906542316,2000000000.0,0.5228013,0.0057672,1.4372,0.4951594,4.283,15.4065,-26.8418,12.175465110121351,15.577873018943613,0.00033250209999999996,0.0021385
207,7.359139719218486e-05,2.6118209378754484e-05,51.678976623847454,3304.4399744915177,2000000000.0,0.5231433,0.0056952,1.4359,0.4951384,4.3123,15.4405,-26.4064,12.227593333507565,15.607598661878317,0.00033082999999999995,0.0021243
208,7.323075439305198e-05,2.578127976647248e-05,51.311362165960894,3333.3385412581783,2000000000.0,0.5234575,0.0056239,1.4347,0.49511730000000004,4.342,15.4722,-25.9893,12.279787352846158,15.636246636232013,0.0003291019,0.00211
209,7.288328075038935e-05,2.545321199713397e-05,50.95828994139242,3362.80025917762,2000000000.0,0.5237726,0.005555200000000001,1.4334,0.4950976,4.369,15.505,-25.5972,12.330654206359874,15.66430341004822,0.0003274162,0.002096
210,7.251863364953131e-05,2.513368980261646e-05,50.61762404519337,3390.950490285528,2000000000.0,0.524068,0.0054878999999999995,1.4324,0.49507650000000003,4.3982,15.5334,-25.2285,12.381573758113962,15.690853360068356,0.00032568589999999996,0.0020819000000000002
211,7.216020117868835e-05,2.4826448937869294e-05,50.294370605466355,3420.351350009074,2000000000.0,0.5243547,0.0054229000000000005,1.4312,0.49505669999999996,4.425,15.5623,-24.8851,12.431160875583576,15.716855383310723,0.00032397219999999997,0.0020681
212,7.179979980447887e-05,2.4522949063071153e-05,49.976299085182305,3449.9754951256864,2000000000.0,0.5246383,0.0053587999999999995,1.4301,0.4950375,4.4506,15.5915,-24.5549,12.480642527688047,15.742337600928654,0.0003222503,0.0020542
213,7.143826798073065e-05,2.4230995621756287e-05,49.67808396309856,3478.640032595427,2000000000.0,0.5249074,0.0052974,1.429,0.4950183,4.4758,15.6185,-24.2534,12.528807984852609,15.766733001184825,0.0003205314,0.0020406
214,7.710382785192858e-05,2.4799054706102378e-05,79.4849343409577,3534.372245366857,2000000000.0,0.5306763999999999,0.0088102,1.4083,0.4961469,0.9454101,15.8874,-16.6187,10.698272316707016,14.238303925771707,0.0003383003,0.0021156
