n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,FOM,PWR
28,0.000771269104653796,0.0001203834742701773,121.77122330622937,845.485590341709,999999999.9999999,-3.3908,19.7149,-24.7952,4.068981040218581,11.353649455094473,0.0020236
29,0.0008262554995851416,0.00012216267230839376,127.746141815961,838.1730574860574,999999999.9999999,-3.2895,19.7833,-24.3337,3.9464495360088403,11.459522037981737,0.0021520000000000003
30,0.0007217308707006607,0.00012384040519192256,133.08885129284408,691.1096492339876,999999999.9999999,-3.6533,18.8902,-25.8311,3.9544089948053394,10.661246393475164,0.0019303999999999999
31,0.0009960209770645862,0.0001295991060054519,135.0911357626215,927.3163335530124,999999999.9999999,-5.9285,19.8671,-21.178,3.8441173064246046,8.393793645452298,0.0025187
32,0.00024900524426614654,0.00014828434486318872,68.60949731645425,231.82908338825314,999999999.9999999,-0.7252198,7.1871,-19.6785,8.458414932787369,-0.4811551487117329,0.0008227824999999999
35,0.00011560337354230734,0.00014933960087577905,68.27165812541357,1242.4589937839191,999999999.9999999,1.58,14.5307,-29.2166,8.199005160554595,12.628553814566915,0.0003977465
38,8.850883286832905e-05,0.00015566977498462307,54.088457777160016,2229.2538009360132,999999999.9999999,1.1499,15.8187,-24.3364,9.352044406021742,13.292798697262498,0.0003061736
39,0.00010778219381384708,0.00010116540886308476,72.51932808774546,2390.963259684212,999999999.9999999,-2.9154,17.4724,-22.4519,8.215021912953,11.61284348614129,0.0003498812
40,7.197283183271922e-05,0.00010239162609024207,56.681251218056985,2051.864521922838,999999999.9999999,-1.594,15.0126,-30.3217,9.984592536986156,9.807531861042417,0.0002561985
43,0.00020310148695711186,9.457401971174583e-05,43.396582963824876,2024.6876518743093,999999999.9999999,-2.7327,19.3361,-15.3095,8.723536436312038,10.658632237664559,0.0006091006999999999
44,0.0001728073237623752,9.255182928974869e-05,43.6674008803221,1806.5451460620986,999999999.9999999,-1.7176,18.4336,-15.5169,8.884256592443807,11.08899420466614,0.0005425037999999999
47,5.7971332023402476e-05,0.0001465184817349553,50.47918495961781,1782.5513516701485,999999999.9999999,-7.5108,12.8076,-23.2324,10.992397260403663,1.2730799663489192,0.0002183446
48,0.00010144983104095432,0.00013298678193111448,88.33857367933118,2706.280360421233,999999999.9999999,-3.8482,17.1295,-16.3951,7.747874112613344,11.184648963776716,0.0003271409
49,6.980493036513438e-05,0.00012734018721474797,50.96906796359682,2174.8367538336506,999999999.9999999,-3.8475,14.9283,-23.1732,10.298132005488972,7.213946957638681,0.0002508649
50,0.00012215862813898517,0.0001038894797362004,89.19586893629443,3259.1145595850858,999999999.9999999,-5.7727,18.7502,-15.9668,7.631955432023022,10.489500730057788,0.0003696916
51,0.00010195249712252923,9.545602609043656e-05,47.220484794293945,2525.069599297269,999999999.9999999,0.7531284,17.6501,-19.2687,9.767211953389811,13.84468613215707,0.00033694249999999997
65,1.4123034028632405e-05,1.7453173003522333e-05,57.519380085165324,11582.00358981861,999999999.9999999,-14.816,23.4478,-29.4006,9.359832683975938,12.6948865097938,5.1427799999999996e-05
68,4.892491330522628e-06,1.4981475929256589e-05,42.692132590587434,17166.791017954714,999999999.9999999,-9.6458,20.3048,-20.4717,13.487791848005926,14.321715297795553,2.01768e-05
69,3.7031013654083562e-06,1.3459741339927149e-05,43.954354932367266,13732.157135626252,999999999.9999999,-10.7835,17.741,-22.086,14.701109526458406,10.379161811473821,1.59474e-05
