Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
25,Rd,-7.815624019868226e-06,0.0,0.0,0.0,0.0,-7.815624019868226e-06,Ibias,150.1490395846027,0.0,0.0,0.0,0.0,150.1490395846027,W1,71.08299427365316,0.0,0.0,0.0,0.0,71.08299427365316,W2,1425.7200131898526,0.0,0.0,0.0,0.0,1425.7200131898526,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
26,Rd,-7.725001422724062e-06,0.0,0.0,0.0,0.0,-7.725001422724062e-06,Ibias,150.65788056156768,0.0,0.0,0.0,0.0,150.65788056156768,W1,70.46627989686158,0.0,0.0,0.0,0.0,70.46627989686158,W2,1418.1843199788366,0.0,0.0,0.0,0.0,1418.1843199788366,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
27,Rd,-9.068432307628715e-05,-8.304982046408198e-05,0.0,0.0,0.0,-7.63450261220625e-06,Ibias,-2.8414947894817724,-154.00071721011022,0.0,0.0,0.0,151.15922242062646,W1,-217.1326712387269,-286.90271180709186,0.0,0.0,0.0,69.77004056835897,W2,-223.67374853429092,-1634.2743681879278,0.0,0.0,0.0,1410.6006196535986,Alo,-0.28936497040497344,-0.28936497040497716,0.0,0.0,0.0,0.0,
28,Rd,-7.732257468921071e-06,0.0,0.0,0.0,0.0,-7.732257468921071e-06,Ibias,150.49617247838648,0.0,0.0,0.0,0.0,150.49617247838648,W1,70.49716276641415,0.0,0.0,0.0,0.0,70.49716276641415,W2,1418.0244315093348,0.0,0.0,0.0,0.0,1418.0244315093348,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
29,Rd,-7.646321860859124e-06,0.0,0.0,0.0,0.0,-7.646321860859124e-06,Ibias,150.98829608417176,0.0,0.0,0.0,0.0,150.98829608417176,W1,69.72238392116273,0.0,0.0,0.0,0.0,69.72238392116273,W2,1410.2384417948153,0.0,0.0,0.0,0.0,1410.2384417948153,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
30,Rd,-7.556389550273514e-06,0.0,0.0,0.0,0.0,-7.556389550273514e-06,Ibias,151.49576804817735,0.0,0.0,0.0,0.0,151.49576804817735,W1,69.02615129039083,0.0,0.0,0.0,0.0,69.02615129039083,W2,1402.608890020159,0.0,0.0,0.0,0.0,1402.608890020159,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
31,Rd,-1.4944181069318418e-05,-7.4734912362944164e-06,0.0,0.0,0.0,-7.470689833025067e-06,Ibias,137.91123277796663,-14.084402049900069,0.0,0.0,0.0,151.99563482786468,W1,-75.34282037746583,-143.75135978085666,0.0,0.0,0.0,68.40853940337036,W2,1021.5347841851817,-373.80825663304137,0.0,0.0,0.0,1395.3430408181698,Alo,-0.026075685096369042,-0.026075685096372758,0.0,0.0,0.0,0.0,
32,Rd,-7.475515910397327e-06,0.0,0.0,0.0,0.0,-7.475515910397327e-06,Ibias,151.96532146511473,0.0,0.0,0.0,0.0,151.96532146511473,W1,68.4565163867104,0.0,0.0,0.0,0.0,68.4565163867104,W2,1395.3259297830864,0.0,0.0,0.0,0.0,1395.3259297830864,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
33,Rd,-9.09599947001206e-05,-8.356592524626886e-05,0.0,0.0,0.0,-7.394069453851136e-06,Ibias,-5.869711654825753,-158.33507272909532,0.0,0.0,0.0,152.4653610742707,W1,-209.57127007096744,-277.3310145861203,0.0,0.0,0.0,67.7597445151645,W2,-229.24471136901778,-1616.8530833667373,0.0,0.0,0.0,1387.6083719977044,Alo,-0.2917016425728657,-0.2917016425728636,0.0,0.0,0.0,0.0,
34,Rd,-7.491527078701942e-06,0.0,0.0,0.0,0.0,-7.491527078701942e-06,Ibias,151.7790603628713,0.0,0.0,0.0,0.0,151.7790603628713,W1,68.41135087179137,0.0,0.0,0.0,0.0,68.41135087179137,W2,1395.1649028070194,0.0,0.0,0.0,0.0,1395.1649028070194,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
35,Rd,-7.40639248746557e-06,0.0,0.0,0.0,0.0,-7.40639248746557e-06,Ibias,152.28519912063896,0.0,0.0,0.0,0.0,152.28519912063896,W1,67.71503870900688,0.0,0.0,0.0,0.0,67.71503870900688,W2,1387.655922216591,0.0,0.0,0.0,0.0,1387.655922216591,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
36,Rd,-7.321370904702316e-06,0.0,0.0,0.0,0.0,-7.321370904702316e-06,Ibias,152.78363208566094,0.0,0.0,0.0,0.0,152.78363208566094,W1,67.09730192595588,0.0,0.0,0.0,0.0,67.09730192595588,W2,1380.1007870209269,0.0,0.0,0.0,0.0,1380.1007870209269,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
37,Rd,-1.0163875634664751e-05,-2.9274146298203765e-06,0.0,0.0,0.0,-7.23646100484377e-06,Ibias,147.64551929935072,-5.636533623209728,0.0,0.0,0.0,153.2820529225616,W1,9.703609474194447,-56.696507057460046,0.0,0.0,0.0,66.40011653166619,W2,1224.562254706134,-148.14398362564276,0.0,0.0,0.0,1372.7062383318073,Alo,-0.01023255966354535,-0.010232559663543238,0.0,0.0,0.0,0.0,
38,Rd,-7.239244407500564e-06,0.0,0.0,0.0,0.0,-7.239244407500564e-06,Ibias,153.2624298971767,0.0,0.0,0.0,0.0,153.2624298971767,W1,66.38821239972506,0.0,0.0,0.0,0.0,66.38821239972506,W2,1372.6666504306224,0.0,0.0,0.0,0.0,1372.6666504306224,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
39,Rd,-0.00010970990509132275,-0.00010255544861658223,0.0,0.0,0.0,-7.154456474740512e-06,Ibias,-44.750339190600165,-198.5190491821236,0.0,0.0,0.0,153.76870999152345,W1,-195.56561659973175,-261.4144221452976,0.0,0.0,0.0,65.84880554558639,W2,-226.35474954035405,-1591.5841375205032,0.0,0.0,0.0,1365.2293879802025,Alo,-0.3586339109947814,-0.3586339109947814,0.0,0.0,0.0,0.0,
40,Rd,-7.271905168867889e-06,0.0,0.0,0.0,0.0,-7.271905168867889e-06,Ibias,152.88667155044257,0.0,0.0,0.0,0.0,152.88667155044257,W1,66.66324472029882,0.0,0.0,0.0,0.0,66.66324472029882,W2,1375.408575905791,0.0,0.0,0.0,0.0,1375.408575905791,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
41,Rd,-7.191663989505924e-06,0.0,0.0,0.0,0.0,-7.191663989505924e-06,Ibias,153.38275319716286,0.0,0.0,0.0,0.0,153.38275319716286,W1,65.96629962555886,0.0,0.0,0.0,0.0,65.96629962555886,W2,1367.9835296180715,0.0,0.0,0.0,0.0,1367.9835296180715,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
