Input_Current,Temperature,Voutp,Voutn,vg1,vd1,i_src,v_src,p_src,Io,gm1,gds1,vt,vdsat1,cgs1,cgd1,cgs2,cgd2,region,Vcmlo,gm2,vt2,conv_gain_db,gain_freq,bb_BW,iip2_dbm,nf_db,iip3_dbm
5.6594411867000046e-05,94.19354838709677,0.9502488,0.9502488,0.2292843,0.2234767,0.0005288594,1.0,0.0005288594,5.582672e-05,0.001054632,0.0001295426,0.4216226,0.0567434,2.6236030000000002e-14,1.5593840000000003e-14,8.095354000000002e-15,4.618954e-15,3.0,0.467838,0.0005246548,0.4308989,-1.8659090583725157,1000.000000119209,9999000.0,50.82055523818717,26.99152112717965,0.9878974708436488
5.6594411867000046e-05,99.35483870967741,0.9493824,0.9493824,0.225151,0.2261047,0.0005301665,1.0,0.0005301665,5.6709e-05,0.00105686,0.0001298981,0.4171067,0.05754401,2.63544e-14,1.5584769999999998e-14,8.141983e-15,4.6165980000000005e-15,3.0,0.4678437,0.0005256753,0.4274744,-1.9040070163488696,1000.000000119209,9999000.0,50.85745120009298,27.091960644253845,0.9225417664199966
5.6594411867000046e-05,104.51612903225805,0.9485151,0.9485151,0.2210309,0.2287178,0.0005314611,1.0,0.0005314611,5.7589170000000005e-05,0.001058971,0.0001302453,0.4125917,0.05834291,2.647125e-14,1.55757e-14,8.188050000000002e-15,4.614275000000001e-15,3.0,0.4678496,0.000526638,0.4240515,-1.941507868631356,1000.000000119209,9999000.0,50.94260247051055,27.191202901454517,1.0040025815791296
5.6594411867000046e-05,109.67741935483872,0.9476466,0.9476466,0.2169246,0.2313159,0.0005327443,1.0,0.0005327443,5.846809000000001e-05,0.001060987,0.0001305867,0.4080776,0.05914,2.658667e-14,1.556664e-14,8.233567000000002e-15,4.611984e-15,3.0,0.4678556,0.000527547,0.4206304,-1.9781607655024234,1000.000000119209,9999000.0,51.040037889036554,27.289073732222793,1.0876837060569926
5.6594411867000046e-05,114.83870967741936,0.9467762,0.9467762,0.2128326,0.2338991,0.0005340171,1.0,0.0005340171,5.934673000000001e-05,0.001062928,0.0001309247,0.4035645,0.05993517,2.6700759999999998e-14,1.555759e-14,8.27855e-15,4.609725e-15,3.0,0.4678618,0.0005284077,0.4172109,-2.0139281963896307,1000.000000119209,9999000.0,51.12024492678337,27.385601540109498,1.1733775456264226
5.6594411867000046e-05,120.0,0.9459036,0.9459036,0.2087557,0.236467,0.0005352804,1.0,0.0005352804,6.0226120000000004e-05,0.001064817,0.000131262,0.3990523,0.06072832,2.681362e-14,1.554855e-14,8.323021000000001e-15,4.607495e-15,3.0,0.4678681,0.0005292265,0.4137929,-2.048767541754811,1000.000000119209,9999000.0,51.212985290134185,27.480772760089973,1.260679990019412
6.856569530068852e-05,-40.0,0.9684815,0.9684815,0.3476953,0.1449585,0.0005120302,1.0,0.0005120302,3.6558380000000004e-05,0.001045222,0.0001309287,0.539682,0.03581722,2.310328e-14,1.58091e-14,6.819726000000001e-15,4.684802e-15,3.0,0.4677397,0.0005248075,0.5198389,0.528430789808779,1000.000000119209,9999000.0,49.34275104303536,22.957648237883138,1.3954637677644826
6.856569530068852e-05,-34.83870967741935,0.9674356,0.9674356,0.3432766,0.1479414,0.0005140876,1.0,0.0005140876,3.7736080000000005e-05,0.001058806,0.0001324033,0.5351436,0.03663542,2.3283809999999998e-14,1.579893e-14,6.8862970000000004e-15,4.6813440000000005e-15,3.0,0.4677415,0.0005308159,0.5163591,0.5364161862901814,1000.000000119209,9999000.0,49.409636981177115,23.044661302504004,1.271213310082942
6.856569530068852e-05,-29.67741935483871,0.966391,0.966391,0.3388814,0.1508891,0.000516129,1.0,0.000516129,3.8909050000000007e-05,0.001071612,0.0001338058,0.5306075,0.03745427,2.3462209999999998e-14,1.578885e-14,6.952880000000001e-15,4.677888e-15,3.0,0.4677436,0.0005367142,0.5128772,0.5370680938815943,1000.000000119209,9999000.0,49.46983182916077,23.13639234966557,1.1675934841410651
6.856569530068852e-05,-24.516129032258064,0.9653529,0.9653529,0.3345083,0.1537653,0.0005181423,1.0,0.0005181423,4.007135e-05,0.001083534,0.0001351325,0.5260759,0.03827363,2.3638080000000002e-14,1.577889e-14,7.020882000000001e-15,4.674358e-15,3.0,0.4677457,0.0005431602,0.5093849,0.5312735586416472,1000.000000119209,9999000.0,49.52411210173108,23.232126566141677,1.0831844155187866
