n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
749,0.0010601719312459236,4.6155876686294226e-05,96.19235784009868,621.7443423571185,9000000000.0,0.7732365999999999,0.1063927,1.1123,0.5249085,1.3001,14.3873,-16.2055,5.966421408146221,14.621580833448029,0.0038989,0.0122633
750,0.0013252149140574045,3.8919195447657995e-05,101.00880573761822,777.1804279463981,9000000000.0,0.8505442000000001,0.1327301,0.7787524,0.5339271999999999,2.1205,15.4333,-17.0722,6.16779414393612,15.36263132641579,0.004750300000000001,0.0117655
751,0.0009939111855430535,4.526581038240865e-05,102.80478640208969,582.8853209597986,9000000000.0,0.7696278,0.107636,1.1897,0.5247433,0.9005724,14.0011,-17.1194,5.935475388784619,14.135840507692398,0.0036736,0.0118527
752,0.0012423889819288168,3.837905691170713e-05,106.48130589384427,728.6066511997483,9000000000.0,0.8431752,0.1329498,0.8902776,0.5332741,2.3388,15.1948,-17.7965,6.083776275057195,15.705092598760842,0.004483,0.011529600000000001
753,0.0013326888348561565,3.885397996247619e-05,110.87595492261764,690.6534814242813,9000000000.0,0.8685474000000001,0.1479515,0.8784016,0.5372899999999999,2.6106,15.1666,-17.6786,5.999527037468506,15.762944069854482,0.0048013000000000005,0.011896200000000001
754,0.0012186099243537954,4.2611479595066205e-05,114.3222805553701,591.8556490561812,9000000000.0,0.8394996,0.14263050000000002,1.0616,0.5347731,2.1324,14.588,-17.4204,5.767875598309644,15.358223682065624,0.0044399,0.0123654
755,0.0015232624054422443,4.005031327251241e-05,119.65178256930767,739.8195613202265,9000000000.0,0.9224113,0.1781342,0.6985789,0.5462817,0.7947947000000001,15.3499,-16.8758,5.841692662028093,13.815172098049679,0.0054212,0.012369400000000001
756,0.0011424468040816833,5.0062891590640506e-05,89.73883692698075,554.8646709901699,9000000000.0,0.7733317,0.10722820000000001,1.137,0.5250017,1.6865,14.25,-14.8104,5.981522972508411,14.520787974550906,0.004206400000000001,0.0132865
757,0.0008568351030612625,3.754716869298038e-05,112.17354615872594,606.179929802159,9000000000.0,0.7653488,0.102164,1.2479,0.5228442,0.480634,13.6877,-19.6193,6.209362675142232,13.663050793666033,0.0031817000000000004,0.0100897
758,0.001071043878826578,3.5443311676911804e-05,112.96920914753021,757.7249122526987,9000000000.0,0.8222053,0.1231313,0.9741124,0.5301209,1.7682,14.9854,-19.0948,6.142227231097225,15.464227069566746,0.0038897,0.0104672
759,0.0013388048485332225,3.4585693539197035e-05,116.44552454491918,865.4987795100752,9000000000.0,0.892087,0.15206999999999998,0.6697213000000001,0.5396396,0.1621958,15.4638,-17.9978,6.22207079955912,13.353714664462359,0.0047609,0.0107416
760,0.0010041036363999168,4.323211692399629e-05,90.6410815872424,649.1240846325564,9000000000.0,0.7606561000000001,0.0954233,1.1166,0.5219308,1.3308,14.402,-16.5908,6.234615472283382,14.536340888203044,0.0037022,0.0115831
761,0.001255129545499896,3.672037376199461e-05,95.18001139325713,811.4051057906955,9000000000.0,0.8332161,0.1187821,0.7873882999999999,0.5301673,2.195,15.4539,-17.4777,6.427924429737982,15.347748486975657,0.0045054,0.0111509
762,0.0009413471591249219,4.147444991735442e-05,99.90063622034947,608.5538293430216,9000000000.0,0.7623855,0.0994402,1.1943,0.5224975,0.9389233,14.0106,-17.9771,6.176023507081197,14.0913179320573,0.0034861000000000002,0.0110651
763,0.0011766839489061524,3.703916554508995e-05,102.97101814486278,760.692286678777,9000000000.0,0.8276433,0.12219329999999999,0.8973044,0.5303777000000001,2.2083,15.2062,-18.1295,6.225582352212067,15.625910309824128,0.0042546,0.0110731
764,0.0012673543975789646,3.7205618284573855e-05,107.79847076386176,744.2575707913495,9000000000.0,0.8539144000000001,0.13662280000000002,0.8567299,0.53444,2.3751,15.261,-18.0458,6.139551853586682,15.657965509256943,0.0045619,0.01135
765,0.0009505157981842234,4.037167627060321e-05,110.76326590407072,588.694162886582,9000000000.0,0.779429,0.1109061,1.2105,0.5254383,0.8720954000000001,13.9052,-18.7344,6.037919322190914,14.068278359706675,0.0035133,0.0109474
766,0.0011881447477302793,3.7002896439811084e-05,112.1154957630688,735.8677036082275,9000000000.0,0.8434785,0.1343042,0.9184930000000001,0.5334374000000001,2.1705,15.1207,-18.4614,6.06378299002386,15.675702807655538,0.0042946,0.0111139
767,0.0013312602888956488,3.727858571611239e-05,116.93363545250754,745.9405662620618,9000000000.0,0.8825449,0.1545288,0.8142357,0.5393975000000001,2.1597,15.3019,-18.0456,5.993468471829545,15.47974662282294,0.0047745,0.0114881
768,0.0009984452166717367,4.4874677393411536e-05,114.70317284603361,559.4554246965463,9000000000.0,0.7859703,0.12031090000000001,1.2132,0.5279551,0.7395688,13.8597,-17.7597,5.762334488153216,14.053754194321584,0.0036852,0.0118179
769,0.0012480565208396709,3.953322216724332e-05,116.6790197451455,699.3192808706829,9000000000.0,0.8570513,0.1466036,0.9213273000000001,0.5366725,2.2,15.0879,-17.8792,5.842057765487009,15.758998902315982,0.004508,0.0117781
770,0.0013971943620415621,3.890835486664717e-05,119.48453805531304,703.4665476574376,9000000000.0,0.8970619000000001,0.1657083,0.8243936000000001,0.5422587999999999,2.3396,15.2424,-17.6728,5.868233314121447,15.558422171614842,0.0050109,0.0120111
771,0.0010478957715311715,4.654911553161307e-05,116.4804820036249,527.5999107430782,9000000000.0,0.7963013,0.1279477,1.2205,0.5299395,0.9057494,13.7987,-17.3586,5.673659343228974,14.074772780245574,0.0038636,0.012316800000000001
772,0.0013098697144139644,4.1365735287898217e-05,118.88535146863056,659.4998884288477,9000000000.0,0.8698531,0.1566985,0.9307344000000001,0.5392659,2.37,15.0311,-17.4372,5.720136693090867,15.828663695126938,0.0047305,0.0123348
773,0.0014743464073348619,4.194959079519349e-05,122.36806563256717,691.7377589106043,9000000000.0,0.9112217,0.1782956,0.7921072,0.5457489000000001,2.081,15.2836,-16.8461,5.65837958563532,15.40284699437342,0.0052759,0.0127746
774,0.0011057598055011465,5.243698849399186e-05,114.78886146356828,518.8033191829531,9000000000.0,0.7968470999999999,0.1326652,1.2004,0.531347,0.8617734,13.8632,-15.9729,5.461088914367972,14.162335623543488,0.0040711,0.0133947
775,0.001382199756876433,4.3621650278879736e-05,118.35949430643375,648.5041489786914,9000000000.0,0.8795511,0.163932,0.9017959,0.5413492,2.4537,15.0943,-16.7297,5.6143328710671465,15.896906404339443,0.004980699999999999,0.0129577
