n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,PWR,gm,CF,CF_wo_Io
17,0.0007811749545238352,0.00010482559192727023,323.15759518656455,358.5790964563205,1000000000.0,-4.9181,15.1505,-28.2372,3.41647219826151,0.0020628,0.0172764,0.3124699818095341,0.0
18,0.0007770633282979914,0.00010482559192727023,323.15759518656455,358.5790964563205,1000000000.0,-4.9479,15.1269,-28.0997,3.4232127621433346,0.0020524000000000002,0.0172069,0.31082533131919654,0.0
19,0.0007730929630160407,0.00010482559192727023,323.15759518656455,358.5790964563205,1000000000.0,-4.9768,15.1038,-27.9629,3.4297963829630684,0.0020425,0.017139500000000002,0.3092371852064163,0.0
20,0.0007692484639686916,0.00010482559192727023,323.15759518656455,358.5790964563205,1000000000.0,-5.0048,15.0813,-27.8269,3.43624532443192,0.0020328,0.0170742,0.30769938558747667,0.0009600000000000719
21,0.0007693648901138672,0.000102001581738858,306.9997154272363,362.5483090131814,1000000000.0,-4.9208,15.1542,-28.332,3.459884443231766,0.0020358,0.0170459,0.3077459560455469,0.0
22,0.0007653496971998144,0.000102001581738858,306.9997154272363,362.5483090131814,1000000000.0,-4.9497,15.1306,-28.1914,3.466652254113274,0.0020257,0.016978100000000003,0.3061398788799258,0.0
23,0.0007614668628793789,0.000102001581738858,306.9997154272363,362.5483090131814,1000000000.0,-4.9776,15.1076,-28.0516,3.4732721521230516,0.002016,0.0169125,0.30458674515175155,0.0
24,0.0007577028084422728,0.000102001581738858,306.9997154272363,362.5483090131814,1000000000.0,-5.0048,15.0851,-27.9128,3.479760863276205,0.0020066000000000003,0.0168488,0.3030811233769091,0.0009600000000000719
25,0.0007578186386118272,9.921366983724108e-05,291.64972965587447,366.43896717614086,1000000000.0,-4.9168,15.1548,-28.4593,3.506183062245923,0.0020096,0.016821000000000003,0.3031274554447309,0.0
26,0.0007538682841458943,9.921366983724108e-05,291.64972965587447,366.43896717614086,1000000000.0,-4.945,15.1311,-28.3155,3.5130224903160636,0.0019997,0.0167546,0.30154731365835774,0.0
27,0.0007500468589574779,9.921366983724108e-05,291.64972965587447,366.43896717614086,1000000000.0,-4.9722,15.1081,-28.1726,3.519712526679048,0.0019901,0.016690200000000002,0.3000187435829912,0.0
28,0.0007463398556949931,9.921366983724108e-05,291.64972965587447,366.43896717614086,1000000000.0,-4.9986,15.0855,-28.0309,3.5262739830083287,0.0019808,0.016627700000000002,0.29853594227799723,0.0
29,0.0007427357428005314,9.921366983724108e-05,291.64972965587447,366.43896717614086,1000000000.0,-5.0244,15.0633,-27.8904,3.532720954424209,0.0019718,0.0165667,0.29709429712021257,0.0048799999999999955
30,0.0007433122692709874,9.647216221531806e-05,277.0672431730807,384.7609155349479,1000000000.0,-4.9045,15.3692,-27.7735,3.5235359868531404,0.0019746,0.016515000000000002,0.297324907708395,0.0
31,0.0007396755101174473,9.647216221531806e-05,277.0672431730807,384.7609155349479,1000000000.0,-4.9303,15.3474,-27.6363,3.5298858881623634,0.0019655000000000002,0.0164543,0.2958702040469789,0.0
32,0.0007361249704487993,9.647216221531806e-05,277.0672431730807,384.7609155349479,1000000000.0,-4.9554,15.3259,-27.5002,3.5361529295850227,0.0019565999999999997,0.0163949,0.29444998817951973,0.0
33,0.0007326524718092762,9.647216221531806e-05,277.0672431730807,384.7609155349479,1000000000.0,-4.98,15.3047,-27.3655,3.542347538246439,0.0019479,0.0163366,0.2930609887237105,0.0
34,0.0007292523784716958,9.647216221531806e-05,277.0672431730807,384.7609155349479,1000000000.0,-5.0042,15.2838,-27.2321,3.5484733236151067,0.0019394,0.0162795,0.29170095138867835,0.0008399999999999963
35,0.0007293483172441943,9.37489024756295e-05,263.2138810144267,388.05003939897915,1000000000.0,-4.9093,15.3374,-27.8938,3.5826340906234067,0.0019426,0.0162534,0.29173932689767773,0.0
36,0.0007257929042214826,9.37489024756295e-05,263.2138810144267,388.05003939897915,1000000000.0,-4.9342,15.3155,-27.7539,3.5890611313838336,0.0019337,0.0161941,0.290317161688593,0.0
37,0.0007223185729134589,9.37489024756295e-05,263.2138810144267,388.05003939897915,1000000000.0,-4.9586,15.294,-27.6154,3.5954062614720037,0.0019249,0.0161362,0.28892742916538355,0.0
