n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,PWR,gm,CF,CF_wo_Io
150,0.000578747031702119,5.1719440543802695e-05,192.09027354005866,889.0611204763768,1000000000.0,-4.8011,18.2472,-15.7402,3.9904800319717015,0.0015316000000000001,0.0118096,0.6126400000000001,0.0
151,0.0005710383558715073,5.156174831879579e-05,194.23381316299296,903.7245118116426,1000000000.0,-4.8777,18.2732,-15.4278,3.9914804876366663,0.0015111000000000002,0.0116723,0.6044400000000001,0.0
152,0.0005635864384111054,5.140527875186906e-05,195.31061287580548,918.705478358666,1000000000.0,-4.9431,18.302,-15.1784,3.9984192546780406,0.0014915,0.0115408,0.5966,0.0
153,0.0005563099276595568,5.140527875186906e-05,197.47464641829947,938.0055605123915,1000000000.0,-5.0209,18.3489,-14.8574,3.9981531804815393,0.0014717,0.011409,0.58868,0.013686666666666684
154,0.0005703837386888764,5.02779031005449e-05,187.6009140973845,891.1052824867719,1000000000.0,-4.7948,18.1975,-15.8318,4.045881100365166,0.001512,0.011644600000000001,0.6048,0.011470275091291393
155,0.0005728754335924442,5.279179825557215e-05,196.98095980225372,886.3724732427096,1000000000.0,-4.911,18.2296,-15.5314,3.9581597396225945,0.001517,0.0117744,0.6068,0.0
156,0.0005657357473475993,5.279179825557215e-05,199.14677179817107,904.369351944603,1000000000.0,-4.9862,18.2756,-15.2057,3.9571550474974426,0.0014976,0.0116445,0.59904,0.0
157,0.0005587305634403797,5.279179825557215e-05,201.33181772179063,923.0229627575442,1000000000.0,-5.0611,18.3224,-14.8894,3.9565825849719145,0.0014785,0.011515800000000001,0.5914,0.01959333333333326
158,0.0005729088807349028,5.178370868428394e-05,191.2652268357011,876.871814619667,1000000000.0,-4.8396,18.1748,-15.8709,4.001377701967886,0.0015191,0.0117619,0.60764,0.00034442549197155614
159,0.000573808714792945,5.312462431726958e-05,200.52134725759385,875.1349002877805,1000000000.0,-4.9407,18.184,-15.4964,3.9345258124922724,0.0015197000000000001,0.0118124,0.6078800000000001,0.0
160,0.0005668740568525004,5.296703749782505e-05,202.70537396081073,889.1260985977154,1000000000.0,-5.0108,18.2111,-15.2041,3.9351136450146935,0.0015012,0.011685000000000001,0.60048,0.0021599999999999397
161,0.0005722464039235886,5.03186856229338e-05,192.5701052627702,887.3339579053676,1000000000.0,-4.8278,18.1791,-15.6226,4.014712427292153,0.0015159000000000001,0.011664500000000001,0.60636,0.003678106823038263
162,0.00057469677845694,5.283461990408049e-05,202.19861052590872,883.5105036430051,1000000000.0,-4.9428,18.2146,-15.3291,3.9286239581017233,0.0015206,0.011792500000000001,0.60824,0.0
163,0.0005676504839353373,5.2676196828629596e-05,204.38065152956975,897.8189508771618,1000000000.0,-5.0138,18.2419,-15.0406,3.929637097857343,0.0015018,0.0116637,0.60072,0.0027599999999999626
164,0.0005745897267174841,5.004238698719812e-05,194.16161895309125,886.7951443446524,1000000000.0,-4.8182,18.1751,-15.55,4.006820965725498,0.0015212000000000001,0.0116783,0.60848,0.0017052414313745157
165,0.0005770342506337843,5.2544506336558026e-05,203.86969990074581,882.6808042364526,1000000000.0,-4.9331,18.2096,-15.265,3.920941879591621,0.001526,0.0118078,0.6104,0.0
166,0.0005699468966840274,5.2544506336558026e-05,206.04879305232242,900.5886288538059,1000000000.0,-5.0071,18.2562,-14.9522,3.9202959822216688,0.0015067,0.0116794,0.60268,0.004606666666666766
167,0.0005766773119566345,5.149012405697912e-05,195.7463533997063,855.5591974111155,1000000000.0,-4.8462,18.0749,-15.8744,3.9760638154250607,0.0015294000000000002,0.0118245,0.6117600000000001,0.0
168,0.0005696636623046494,5.149012405697912e-05,198.92478909521074,872.5917907996109,1000000000.0,-4.9286,18.1198,-15.4935,3.9687154819254253,0.00151,0.0116954,0.604,0.0
