Iteration No,Rd,Ibias,C1,C2,Cload,W1,W2,Rbias1,Rbias2,Rbias3,mismatch,flo,frf,Alo,Temp,
11,453.9734557757194,0.0008345540013368471,5.920426e-13,1.240008e-12,3.51874991269356e-11,3.738974880192867e-05,2.226113310586971e-05,26616.1846421413,12453.173404488443,44359.217502682244,0,1000000000.0,1010000000.0,0.22251433921975458,27,
12,455.627338306133,0.0008288091378271306,5.920426e-13,1.240008e-12,3.505820463003548e-11,3.7482046029240144e-05,2.2336631944847736e-05,26616.1846421413,12342.12632901568,43973.63141499907,0,1000000000.0,1010000000.0,0.22245348250667676,27,
13,457.3306751521075,0.0008232737962437542,5.920426e-13,1.240008e-12,3.493094678725362e-11,3.7575669995998594e-05,2.24126330246896e-05,26616.1846421413,12232.756147480757,43596.26045519357,0,1000000000.0,1010000000.0,0.22241423761201398,27,
14,459.04724616768664,0.0008178761003260842,5.920426e-13,1.240008e-12,3.4800845807896146e-11,3.7667972024837536e-05,2.2487340025580493e-05,26616.1846421413,12124.090040704205,43223.41036373561,0,1000000000.0,1010000000.0,0.22234717848632155,27,
15,460.79292052090864,0.0008126441710147356,5.920426e-13,1.240008e-12,3.4670710786435516e-11,3.776042977971515e-05,2.256189744377707e-05,26616.1846421413,12016.729328726991,42856.92983768257,0,1000000000.0,1010000000.0,0.22228525164060067,27,
16,462.55058636523114,0.0008075382643076098,5.920426e-13,1.240008e-12,3.453936378015027e-11,3.7851796471168004e-05,2.263545799932902e-05,26616.1846421413,11910.249139466436,42494.820063425854,0,1000000000.0,1010000000.0,0.22220430767300592,27,
17,464.3323440605095,0.0008025755791122044,5.920426e-13,1.240008e-12,3.440811616790951e-11,3.7943245338515975e-05,2.2708735939951022e-05,26616.1846421413,11805.005877401445,42138.32146857746,0,1000000000.0,1010000000.0,0.22212738781803004,27,
18,466.12566017576347,0.0007977345021407575,5.920426e-13,1.240008e-12,3.427608374211275e-11,3.803391333512974e-05,2.2781232943937456e-05,26616.1846421413,11700.771016615865,41786.38176567034,0,1000000000.0,1010000000.0,0.222037294805646,27,
19,467.93634302514954,0.0007930213526677573,5.920426e-13,1.240008e-12,3.4144214037022175e-11,3.812445818114281e-05,2.2853355425787603e-05,26616.1846421413,11597.794448903918,41439.4150302878,0,1000000000.0,1010000000.0,0.22194853888599334,27,
20,469.75340129502837,0.0007884181658833643,5.920426e-13,1.240008e-12,3.4012092769494814e-11,3.821415955764275e-05,2.292480863024214e-05,26616.1846421413,11495.831437100855,41096.78249633932,0,1000000000.0,1010000000.0,0.221850526780111,27,
21,471.5851445331749,0.0007839315124346085,5.920426e-13,1.240008e-12,3.388053022141678e-11,3.830388546470783e-05,2.2995875307878197e-05,26616.1846421413,11395.127393640465,40758.89386478007,0,1000000000.0,1010000000.0,0.22175257685100405,27,
22,473.42498084930946,0.0007795472030386783,5.920426e-13,1.240008e-12,3.374893058801583e-11,3.8393071468846395e-05,2.306635242375098e-05,26616.1846421413,11295.5510156898,40425.29197356974,0,1000000000.0,1010000000.0,0.22165212006145257,27,
23,475.2698804354744,0.0007752616845248285,5.920426e-13,1.240008e-12,3.36177746274344e-11,3.848166198325082e-05,2.313634109125651e-05,26616.1846421413,11197.065938488657,40095.62708866665,0,1000000000.0,1010000000.0,0.2215473642383293,27,
24,477.1218114092424,0.000771075515777793,5.920426e-13,1.240008e-12,3.348727736461372e-11,3.857021489454378e-05,2.3205934457037464e-05,26616.1846421413,11099.815733518082,39770.199897595856,0,1000000000.0,1010000000.0,0.22144190973397046,27,
25,478.96694691093893,0.0007669637410811687,5.920426e-13,1.240008e-12,3.33572977143531e-11,3.86574029070874e-05,2.3274474678844308e-05,26616.1846421413,11003.457685888428,39447.56065415126,0,1000000000.0,1010000000.0,0.221320764346734,27,
