Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,L,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
21,Rd,4.584112309680828e-05,0.0,0.0,0.0,9.026334350833316e-05,-4.4422220411524884e-05,0.0,0.0,Ibias,-11.141537573518598,0.0,0.0,0.0,-72.25007527632388,61.10853770280623,0.0,0.0,L,-3406049.4658584865,0.0,0.0,0.0,-1892833.5023449901,-1513215.9635134777,0.0,0.0,W1,98.54021627317798,0.0,0.0,0.0,63.02492560325927,35.51529066992143,0.0,0.0,W2,-265.4422175136094,0.0,0.0,0.0,-1049.9587569473415,784.5165394337491,0.0,0.0,Alo,-0.4698522546340957,0.0,0.0,0.0,-0.4698522546340957,0.0,0.0,0.0,Rbias2,-9.048091865909659e-06,0.0,0.0,0.0,9.967763432470959e-06,-1.901585529838069e-05,0.0,0.0,Rbias3,2.602003458576799e-05,0.0,0.0,0.0,-1.801318131940616e-05,4.4033215905174154e-05,0.0,0.0,
22,Rd,-4.496976998001818e-05,0.0,0.0,0.0,0.0,-4.496976998001818e-05,0.0,0.0,Ibias,62.63104444424331,0.0,0.0,0.0,0.0,62.63104444424331,0.0,0.0,L,-1449342.1448012136,0.0,0.0,0.0,0.0,-1449342.1448012136,0.0,0.0,W1,36.22725479254604,0.0,0.0,0.0,0.0,36.22725479254604,0.0,0.0,W2,791.8477116408574,0.0,0.0,0.0,0.0,791.8477116408574,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.929861580036397e-05,0.0,0.0,0.0,0.0,-1.929861580036397e-05,0.0,0.0,Rbias3,4.428387139064871e-05,0.0,0.0,0.0,0.0,4.428387139064871e-05,0.0,0.0,
23,Rd,6.938420287178351e-05,0.0,0.0,0.0,0.00011220268166150228,-4.281847878971921e-05,0.0,0.0,Ibias,1.6036601636683956,0.0,0.0,0.0,-55.873887018345414,57.47754718201333,0.0,0.0,L,-2850184.8704796275,0.0,0.0,0.0,-1244444.3864092212,-1605740.4840704245,0.0,0.0,W1,180.66381869641984,0.0,0.0,0.0,146.3684850838213,34.29533361259407,0.0,0.0,W2,-28.844354056537973,0.0,0.0,0.0,-826.1561267480881,797.3117726915258,0.0,0.0,Alo,-0.2945342549324819,0.0,0.0,0.0,-0.29453425493248625,0.0,0.0,0.0,Rbias2,-8.05724091998162e-06,0.0,0.0,0.0,1.0995737044239213e-05,-1.9052977964220852e-05,0.0,0.0,Rbias3,3.331375035259036e-05,0.0,0.0,0.0,-1.1406334859144377e-05,4.472008521173458e-05,0.0,0.0,
24,Rd,-4.341568106913214e-05,0.0,0.0,0.0,0.0,-4.341568106913214e-05,0.0,0.0,Ibias,59.01155133709621,0.0,0.0,0.0,0.0,59.01155133709621,0.0,0.0,L,-1548445.2227154442,0.0,0.0,0.0,0.0,-1548445.2227154442,0.0,0.0,W1,35.01981622634412,0.0,0.0,0.0,0.0,35.01981622634412,0.0,0.0,W2,803.1590336281672,0.0,0.0,0.0,0.0,803.1590336281672,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.932280761211245e-05,0.0,0.0,0.0,0.0,-1.932280761211245e-05,0.0,0.0,Rbias3,4.496298106580903e-05,0.0,0.0,0.0,0.0,4.496298106580903e-05,0.0,0.0,
25,Rd,0.0003632083070161502,0.0,0.0,0.0,0.0004045501373396066,-4.1341830323456377e-05,0.0,0.0,Ibias,203.62310092250567,0.0,0.0,0.0,149.20922038922697,54.41388053328045,0.0,0.0,L,147690.60032569396,0.0,0.0,0.0,1828323.5108719827,-1680632.9105462653,0.0,0.0,W1,1317.9760082272883,0.0,0.0,0.0,1284.7930907024602,33.182917524836064,0.0,0.0,W2,3075.550099047702,0.0,0.0,0.0,2269.569819204424,805.9802798433097,0.0,0.0,Alo,0.05946687037358547,0.0,0.0,0.0,0.05946687037358919,0.0,0.0,0.0,Rbias2,5.152594463938587e-06,0.0,0.0,0.0,2.421731806931876e-05,-1.906472360538006e-05,0.0,0.0,Rbias3,5.649148121560431e-05,0.0,0.0,0.0,1.1191892959447704e-05,4.529958825615679e-05,0.0,0.0,
26,Rd,4.7523825764003073e-05,0.0,0.0,0.0,9.042766010796729e-05,-4.290383434396677e-05,0.0,0.0,Ibias,-12.982250487430804,0.0,0.0,0.0,-71.6045684309088,58.622317943478144,0.0,0.0,L,-3351373.4407596765,0.0,0.0,0.0,-1776156.4979662427,-1575216.9427934547,0.0,0.0,W1,65.10395713079836,0.0,0.0,0.0,30.008962755631664,35.0949943751667,0.0,0.0,W2,233.43475884146886,0.0,0.0,0.0,-877.2327725604755,1110.667531401917,0.0,0.0,Alo,-0.6582504741723246,0.0,0.0,0.0,-0.6582504741723284,0.0,0.0,0.0,Rbias2,-9.161121932456446e-06,0.0,0.0,0.0,1.0259778220198579e-05,-1.942090015265516e-05,0.0,0.0,Rbias3,2.422793414370758e-05,0.0,0.0,0.0,-2.1106916274008833e-05,4.5334850417716245e-05,0.0,0.0,
27,Rd,-4.3523358514862576e-05,0.0,0.0,0.0,0.0,-4.3523358514862576e-05,0.0,0.0,Ibias,60.30978551372384,0.0,0.0,0.0,0.0,60.30978551372384,0.0,0.0,L,-1507425.2101705314,0.0,0.0,0.0,0.0,-1507425.2101705314,0.0,0.0,W1,35.906205892836596,0.0,0.0,0.0,0.0,35.906205892836596,0.0,0.0,W2,1114.176943584774,0.0,0.0,0.0,0.0,1114.176943584774,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.972828006941347e-05,0.0,0.0,0.0,0.0,-1.972828006941347e-05,0.0,0.0,Rbias3,4.5594584889765206e-05,0.0,0.0,0.0,0.0,4.5594584889765206e-05,0.0,0.0,
28,Rd,7.020881447481485e-05,0.0,0.0,0.0,0.00011164979678938702,-4.144098231457171e-05,0.0,0.0,Ibias,-0.3573236114660863,0.0,0.0,0.0,-55.88958788379226,55.53226427232569,0.0,0.0,L,-3099352.4982294543,0.0,0.0,0.0,-1457569.8556805113,-1641782.6425489327,0.0,0.0,W1,144.45744567314554,0.0,0.0,0.0,110.45260821653463,34.004837456602736,0.0,0.0,W2,459.5440957230751,0.0,0.0,0.0,-659.5808641304179,1119.124959853488,0.0,0.0,Alo,-0.3932562336040687,0.0,0.0,0.0,-0.3932562336040699,0.0,0.0,0.0,Rbias2,-8.225572946717258e-06,0.0,0.0,0.0,1.1269456237307618e-05,-1.949502918402492e-05,0.0,0.0,Rbias3,3.060512135511456e-05,0.0,0.0,0.0,-1.5403222937155364e-05,4.6008344292269875e-05,0.0,0.0,
29,Rd,-4.205361137979775e-05,0.0,0.0,0.0,0.0,-4.205361137979775e-05,0.0,0.0,Ibias,57.131196142758874,0.0,0.0,0.0,0.0,57.131196142758874,0.0,0.0,L,-1581938.1756821906,0.0,0.0,0.0,0.0,-1581938.1756821906,0.0,0.0,W1,34.80352588937968,0.0,0.0,0.0,0.0,34.80352588937968,0.0,0.0,W2,1123.1849623831388,0.0,0.0,0.0,0.0,1123.1849623831388,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.9799858372935713e-05,0.0,0.0,0.0,0.0,-1.9799858372935713e-05,0.0,0.0,Rbias3,4.6293658066120156e-05,0.0,0.0,0.0,0.0,4.6293658066120156e-05,0.0,0.0,
30,Rd,0.00038522057592065874,0.0,0.0,0.0,0.00042509714710617987,-3.987657118551827e-05,0.0,0.0,Ibias,214.67356401962513,0.0,0.0,0.0,162.2019648626168,52.47159915700946,0.0,0.0,L,390572.1602144065,0.0,0.0,0.0,2094679.270894759,-1704107.110680322,0.0,0.0,W1,1360.9303340591616,0.0,0.0,0.0,1328.0541426740476,32.8761913851166,0.0,0.0,W2,3764.9472015081533,0.0,0.0,0.0,2639.1651687597077,1125.7820327484746,0.0,0.0,Alo,0.09490303282222774,0.0,0.0,0.0,0.09490303282223396,0.0,0.0,0.0,Rbias2,5.919900670884407e-06,0.0,0.0,0.0,2.544259222158362e-05,-1.9522691550699112e-05,0.0,0.0,Rbias3,5.927827389168845e-05,0.0,0.0,0.0,1.2666650004698954e-05,4.661162388698971e-05,0.0,0.0,
