Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
37,1.3761010266486693,0.06309502664866914,0.0,0.0,0.0,1.3130060000000001,
38,1.3621580887608318,0.06062158876083169,0.0,0.0,0.0,1.3015365,
39,1.348546627521527,0.05822012752152711,0.0,0.0,0.0,1.2903265,
40,1.3352733732454425,0.055873873245442476,0.0,0.0,0.0,1.2793995,
41,1.3223117844789214,0.053595784478921375,0.0,0.0,0.0,1.268716,
42,1.309622346489811,0.051373846489811116,0.0,0.0,0.0,1.2582484999999999,
43,1.299071687225454,0.05055468722545413,0.0,0.0,0.0,1.2485169999999999,
44,1.2897271796918535,0.048180679691853356,0.0,0.0,0.0,1.2415465,
45,1.2790327640005759,0.046023764000575916,0.0,0.0,0.0,1.233009,
46,1.2818901360957944,0.05558413609579441,0.0,0.0,0.0,1.226306,
47,1.2807514609323074,0.049078460932307284,0.0,0.0,0.0,1.231673,
48,1.2758673998525192,0.04570639985251906,0.0,0.0,0.0,1.230161,
49,1.2678029947125948,0.04337199471259486,0.0,0.0,0.0,1.224431,
50,1.2654799528718084,0.04729995287180865,0.0,0.0,0.0,1.2181799999999998,
51,1.2623265117457152,0.04325401174571522,0.0,0.0,0.0,1.2190725,
52,1.2555307432249705,0.040796743224970435,0.0,0.0,0.0,1.214734,
53,1.2587152699928486,0.04881776999284852,0.0,0.0,0.0,1.2098975,
54,1.2578825530903348,0.04293705309033472,0.0,0.0,0.0,1.2149455,
55,1.2531616498176739,0.039951149817673934,0.0,0.0,0.0,1.2132105,
56,1.2454001291805206,0.037844129180520505,0.0,0.0,0.0,1.207556,
57,1.215037421733565,0.13903992173356522,0.0,0.0,0.0,1.0759975,
58,1.2099275272867398,0.1088450272867398,0.0,0.0,0.0,1.1010825,
59,1.2065583884480895,0.08185488844808948,0.0,0.0,0.0,1.1247035,
60,1.2054605819787794,0.05974108197877944,0.0,0.0,0.0,1.1457195,
61,1.2066241645954412,0.044584164595441206,0.0,0.0,0.0,1.16204,
62,1.2077755321826327,0.03668603218263276,0.0,0.0,0.0,1.1710895,
63,1.2056042337371682,0.0331012337371682,0.0,0.0,0.0,1.172503,
64,1.21600074001556,0.04468824001555992,0.0,0.0,0.0,1.1713125,
65,1.2172287234589754,0.036975223458975276,0.0,0.0,0.0,1.1802535,
66,1.2149789918569138,0.03348249185691377,0.0,0.0,0.0,1.1814965,
67,1.2232058926688287,0.056409392668828794,0.0,0.0,0.0,1.1667965,
68,1.2251084947130313,0.04310199471303129,0.0,0.0,0.0,1.1820065,
69,1.2259844662365407,0.036613466236540756,0.0,0.0,0.0,1.189371,
70,1.2230229758475444,0.03358547584754443,0.0,0.0,0.0,1.1894375,
71,1.2017505970000746,0.1361715970000746,0.0,0.0,0.0,1.065579,
72,1.1968054914133173,0.10547849141331736,0.0,0.0,0.0,1.091327,
73,1.1937189534060242,0.0780699534060241,0.0,0.0,0.0,1.1156490000000001,
74,1.1930921085544437,0.05566610855444362,0.0,0.0,0.0,1.137426,
75,1.1949739252374287,0.04054992523742863,0.0,0.0,0.0,1.1544240000000001,
76,1.196860166802939,0.03291766680293904,0.0,0.0,0.0,1.1639425,
77,1.1952916671835008,0.02955966718350081,0.0,0.0,0.0,1.165732,
78,1.1780208061051127,0.21691430610511267,0.0,0.0,0.0,0.9611065000000001,
79,1.1689255624396426,0.18118506243964277,0.0,0.0,0.0,0.9877404999999999,
80,1.1611043224947177,0.1469483224947176,0.0,0.0,0.0,1.014156,
