n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,FOM,PWR
513,0.0014513419930707115,7.846424510998085e-05,192.21134788845964,661.8138515191331,3000000000.0,-1.1893,19.2893,-17.5906,3.8180960359227356,14.221699071954497,0.005201
514,0.0011610735944565691,9.415709413197702e-05,153.76907831076772,529.4510812153064,3000000000.0,-0.6324194,17.9527,-16.3678,4.0488654480786685,13.936842324797562,0.0042448
515,0.001393288313347883,8.139585988475555e-05,174.95763052300308,635.3412974583678,3000000000.0,-0.2645662,19.1716,-17.0805,3.8997705651322216,15.049635562873389,0.0050133
516,0.0011146306506783063,9.767503186170666e-05,139.96610441840247,508.27303796669423,3000000000.0,-0.7705219,17.6425,-15.8435,4.189105707045413,13.412365469752132,0.0040980999999999995
517,0.0013375567808139675,7.814002548936533e-05,158.58000708427156,609.927645560033,3000000000.0,0.1588125,18.9109,-17.3349,4.1004191382642565,15.036183042915484,0.004835
519,0.0011954218353687825,7.501442446979072e-05,197.134081760786,585.5305397376317,3000000000.0,-0.42149040000000004,18.2814,-19.8485,3.9854616371637896,14.494129555670273,0.0043311
520,0.001434506202442539,9.001730936374887e-05,198.56225544585354,702.636647685158,3000000000.0,-1.95,19.5141,-16.119,3.6216527352905636,14.081554367699079,0.0051364
521,0.0011476049619540312,0.00010802077123649864,158.84980435668282,562.1093181481264,3000000000.0,-1.0782,18.1292,-15.4043,3.8474590262841044,14.059062669388844,0.0041922
522,0.0013771259543448374,8.641661698919892e-05,183.56582353004674,674.5311817777516,3000000000.0,-0.8139721,19.3699,-16.6199,3.7687088103324062,14.97968702282877,0.0049472
523,0.00110170076347587,0.0001036999403870387,146.8526588240374,539.6249454222013,3000000000.0,-1.0703,17.8388,-15.7038,4.039878915375374,13.611427381601136,0.004043000000000001
524,0.001322040916171044,8.295995230963096e-05,166.4860088534763,647.5499345066416,3000000000.0,-0.2684455,19.1513,-16.9667,3.95738621413057,15.1457243245436,0.0047689
525,0.0013253396883830325,9.955194277155716e-05,160.6984574802452,620.9012416846155,3000000000.0,-0.3520886,19.0592,-15.0306,3.7924200595826485,15.230317193704787,0.00479
527,0.001272326100847711,8.118488796217646e-05,219.88534344561788,596.0651920172309,3000000000.0,-0.5063943,18.5868,-18.7631,3.7409815255913403,14.876782871400614,0.0045908
529,0.0012214330568138026,7.79374924436894e-05,227.4340682760006,572.2225843365416,3000000000.0,-0.5633671,18.2284,-19.7761,3.802055785484858,14.525558363090651,0.004415199999999999
530,0.0014657196681765632,9.352499093242728e-05,208.86497489266733,686.6671012038498,3000000000.0,-2.1224,19.4594,-15.7811,3.5308659556448645,13.925314823065136,0.0052451
531,0.0011725757345412507,0.00011222998911891274,167.09197991413387,549.3336809630798,3000000000.0,-1.1002,18.0868,-15.1577,3.746986638260623,14.079160093982079,0.0042779
532,0.0014070908814495008,8.978399129513019e-05,193.34362508946728,659.2004171556957,3000000000.0,-0.8760635,19.3331,-16.2924,3.66967572694327,14.961904903065586,0.005052
533,0.0011256727051596007,0.00010774078955415622,154.67490007157383,527.3603337245565,3000000000.0,-1.1073,17.7997,-15.4918,3.9316361662258146,13.628571892094367,0.0041248
534,0.0013508072461915208,8.619263164332498e-05,175.4400623215469,632.8324004694679,3000000000.0,-0.2961571,19.1252,-16.6634,3.8497968103818847,15.182436888480659,0.0048698
536,0.0010603984852421645,8.274492637759198e-05,192.03456927248135,480.95262435676466,3000000000.0,-1.1959,16.9671,-19.9272,4.062048218035534,12.75573725325297,0.0038805000000000003
537,0.0012724781822905974,9.929391165311037e-05,193.1862191186991,577.1431492281176,3000000000.0,-0.6413273,18.5881,-16.1406,3.6302722836804033,14.923858410576958,0.0046044
538,0.0015269738187487169,8.820443274066966e-05,209.69047670371688,692.5717790737411,3000000000.0,-3.5069,19.4281,-16.1398,3.5840107255886444,12.247249867004635,0.005451
539,0.0012215790549989735,0.0001058453192888036,167.7523813629735,554.0574232589929,3000000000.0,-0.7559129,18.3129,-15.332,3.7627531402914274,14.454722399019541,0.0044462
540,0.001465894865998768,8.467625543104288e-05,195.28741033010084,664.8689079107914,3000000000.0,-1.4085,19.3781,-16.7017,3.707179554010624,14.240320478305987,0.005252
541,0.0011727158927990144,0.00010161150651725145,156.22992826408068,531.8951263286332,3000000000.0,-0.7684105,18.0148,-15.6932,3.9385551897235804,14.004761599649513,0.004285700000000001
542,0.0014072590713588172,8.128920521380117e-05,180.18776333555905,638.2741515943599,3000000000.0,-0.3898451,19.1945,-17.1579,3.8624937897366967,14.970765947469992,0.0050592
543,0.0011258072570870538,9.75470462565614e-05,144.15021066844724,510.6193212754879,3000000000.0,-0.7641673,17.6938,-15.9468,4.139340490022497,13.51378755022656,0.0041331
544,0.0013509687085044646,7.803763700524913e-05,163.694486964773,612.7431855305855,3000000000.0,0.1062602,18.942,-17.4579,4.055382774374609,15.050945322416734,0.0048772
545,0.001400619205501287,9.364516440629895e-05,160.73067795920727,735.2918226367026,3000000000.0,-1.447,19.7087,-15.127,3.819198817909836,14.534999034783828,0.0050204
547,0.0008963962915208238,8.989935783004698e-05,154.30145084083898,494.1161048118746,3000000000.0,-1.9582,16.5319,-19.3187,4.363480782504448,11.741780988218938,0.0033264
548,0.0010756755498249886,7.191948626403758e-05,144.09981134246107,592.9393257742495,3000000000.0,-0.39516480000000004,18.0493,-19.4006,4.496143507284648,13.88127484790955,0.0039384
549,0.0012908106597899864,8.63033835168451e-05,158.61582157741034,711.5271909290993,3000000000.0,-0.6871169,19.449,-16.3987,3.9638865996666937,15.12316664132112,0.004650400000000001
550,0.0010326485278319892,0.00010356406022021412,151.14876710472032,569.2217527432795,3000000000.0,-1.4919,17.7813,-16.3827,4.029262117898867,13.424908436617315,0.0037949000000000004
551,0.001239178233398387,8.28512481761713e-05,166.51905566455858,683.0661032919354,3000000000.0,-0.5674562,19.1715,-17.3778,3.981274471837467,15.102901655366855,0.0044754
553,0.0011494570363431264,7.953719824912445e-05,206.20684267461365,655.743459160258,3000000000.0,-0.9665795,18.6934,-19.2886,3.854629127679849,14.758995432477446,0.0041573
554,0.0013793484436117518,9.093187907694443e-05,198.7701451014539,786.8921509923096,3000000000.0,-3.3282,19.6744,-15.9732,3.616195798968192,13.056184900861423,0.0049246
555,0.0011034787548894014,0.00010911825489233332,159.01611608116312,629.5137207938476,3000000000.0,-1.3975,18.3751,-15.5556,3.817889949283664,14.214803756279446,0.0040232
556,0.0013241745058672817,8.729460391386666e-05,184.028003639488,755.4164649526172,3000000000.0,-1.6616,19.6115,-16.5675,3.752617735221524,14.581019446023937,0.004746800000000001
557,0.0010593396046938252,0.00010475352469664,147.2224029115904,604.3331719620937,3000000000.0,-1.3705,18.1212,-15.8954,4.003963629989054,13.830589234837994,0.0038811
558,0.0012712075256325903,8.3802819757312e-05,167.83933418717763,725.1998063545125,3000000000.0,-0.8624748,19.4449,-17.022,3.9283138386240686,15.073630410067619,0.0045757
559,0.0010169660205060723,0.0001005633837087744,145.63653396901276,580.15984508361,3000000000.0,-1.4545,17.8226,-16.5523,4.109818364379744,13.434330226425304,0.0037401
560,0.0012203592246072868,8.045070696701952e-05,157.89072813103348,696.191814100332,3000000000.0,-0.5269364000000001,19.2041,-17.5327,4.083642816579412,15.070901356401137,0.0044098
562,0.00112998958638458,7.723267868833873e-05,201.23684596156318,668.3441415363187,3000000000.0,-0.9776997000000001,18.7132,-19.6004,3.9139481651343857,14.737677336244806,0.0040904999999999995
563,0.001355987503661496,9.258187671048229e-05,196.58670056947042,802.0129698435825,3000000000.0,-3.2248,19.698,-15.8364,3.6138945704129495,13.259553818145605,0.0048433
564,0.0010847900029291968,0.00011109825205257875,157.26936045557633,641.6103758748659,3000000000.0,-1.5208,18.3536,-15.477,3.8220020232930443,14.132068449960594,0.0039597
565,0.001301748003515036,8.887860164206299e-05,181.626742199578,769.9324510498391,3000000000.0,-1.6745,19.6329,-16.4161,3.754231791014338,14.658407612822497,0.004669100000000001
