Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
36,0.001083787,4.224264,14.01822,1.224264,13.46206,1000000.0,2000000000.0,-1.2354758630568767,-3.24266,-67.4185,-85.5834,-7.29941e-07,2.643505245669043,5.417914,0.004616546,0.02088614,0.05748788,0.6313823,0.4161256,0.2391318,
37,0.001077536,4.2967770000000005,13.94675,1.296777,13.39303,1000000.0,2000000000.0,-2.4158715942927103,-3.20721,-67.4137,-85.3515,-7.27496e-07,2.574666712901503,5.408864,0.004603021,0.02076267,0.05755977,0.6339866,0.4042191,0.2401851,
38,0.001058761,4.256154,14.01487,1.256154,13.43505,1000000.0,2000000000.0,-1.6690873906060943,-3.26802,-67.2936,-85.4012,-7.4138e-07,2.615975218863687,5.381806,0.004512973,0.02048867,0.05716112,0.6291129,0.411087,0.2382436,
39,0.00104984,4.266967,13.98669,1.266967,13.39693,1000000.0,2000000000.0,-2.2539542353193696,-3.27079,-67.2492,-85.2539,-7.4317e-07,2.580611202916166,5.358701,0.004477356,0.02034237,0.0570887,0.6294838,0.4051629,0.2384534,
40,0.001031151,4.284439,14.04874,1.284439,13.43072,1000000.0,2000000000.0,-1.4544815556646284,-3.30356,-67.1623,-85.335,-7.55722e-07,2.623232860058666,5.353105,0.004389436,0.02006983,0.05666239,0.6245854,0.4125648,0.2366678,
41,0.001019482,4.279945,14.05357,1.279945,13.42302,1000000.0,2000000000.0,-1.5429964726961387,-3.32316,-67.0976,-85.2684,-7.62058e-07,2.617302350616113,5.333557,0.004339555,0.0198868,0.05649875,0.6235858,0.4117816,0.2364977,
42,0.001007886,4.329343,14.05497,1.329343,13.40932,1000000.0,2000000000.0,-1.5822639200252695,-3.31992,-67.0579,-85.2247,-7.67051e-07,2.611673242556386,5.330071,0.004289612,0.01970401,0.05629197,0.6223697,0.4112315,0.2362984,
43,0.0009964188,4.32906,14.05987,1.32906,13.39576,1000000.0,2000000000.0,-1.6160838387423482,-3.33779,-67.0003,-85.1729,-7.726409999999999e-07,2.6080786829954175,5.312629,0.004240014,0.01952491,0.05611529,0.6211783,0.410881,0.2360669,
44,0.0009835752,4.452403,14.04598,1.452403,13.36922,1000000.0,2000000000.0,-2.151435159830939,-3.30318,-66.9636,-85.05,-7.77348e-07,2.5756142595309446,5.320114,0.004185442,0.01930376,0.0560255,0.6200817,0.4043416,0.2351511,
45,0.0009701084,4.440476,14.07515,1.440476,13.37782,1000000.0,2000000000.0,-1.731730852028484,-3.33512,-66.8884,-85.0654,-7.870499999999999e-07,2.596748941716033,5.302757,0.004120463,0.01908808,0.05578512,0.6183438,0.4093494,0.2350856,
46,0.0009605393,4.450518,14.10838,1.450518,13.39168,1000000.0,2000000000.0,-1.383923968845778,-3.35171,-66.8428,-85.0924,-7.93925e-07,2.6151142160645175,5.303765,0.004076275,0.01894358,0.0555608,0.6137903,0.4109139,0.2324541,
47,0.0009510404,4.504212,14.10389,1.504212,13.37066,1000000.0,2000000000.0,-1.4144515018618904,-3.34123,-66.8187,-85.067,-7.973909999999999e-07,2.6103216126899467,5.30317,0.004035246,0.01879112,0.05542243,0.6141548,0.4114569,0.2334055,
48,0.0009416704,4.555219,14.09772,1.555219,13.35145,1000000.0,2000000000.0,-1.4336090984036005,-3.33344,-66.7923,-85.0371,-8.014409999999999e-07,2.6060276447221864,5.301736,0.003994575,0.01863527,0.05527466,0.6145139,0.4121997,0.2343689,
49,0.0009330533,4.526169,14.12148,1.526169,13.36043,1000000.0,2000000000.0,-1.2823372446929326,-3.36428,-66.7323,-85.0212,-8.085610000000001e-07,2.616044039206555,5.289091,0.003956977,0.01849885,0.05513799,0.6111446,0.4123333,0.2322958,
50,0.0009246858,4.588975,14.10675,1.588975,13.33583,1000000.0,2000000000.0,-1.4521718849076208,-3.34572,-66.7156,-84.974,-8.11661e-07,2.604322177263315,5.292732,0.003923016,0.01835128,0.05505277,0.6121576,0.4114641,0.2334226,
51,0.0009159334,4.647288,14.09672,1.647288,13.31264,1000000.0,2000000000.0,-1.5246268170229769,-3.33047,-66.6978,-84.9409,-8.149119999999999e-07,2.5968107456401066,5.295822,0.003886122,0.01820502,0.05491035,0.6125456,0.4114575,0.2343465,
