n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,FOM,PWR
72,3.272260867257987e-06,1.857488789588041e-06,47.82003410381622,48038.576619062354,999999999.9999999,-2.0627,15.5233,-31.1622,24.530998076763915,6.839576576229009,1.62381e-05
74,7.362586951330472e-06,1.3931165921910304e-06,35.86502557786216,36028.93246429677,999999999.9999999,6.6356,17.3798,-15.4582,23.858217566536535,14.972383250333417,3.31337e-05
75,3.6812934756652363e-06,2.0896748882865454e-06,44.11213357815186,18014.466232148385,999999999.9999999,-3.9411,9.5822,-23.4569,25.345732751266024,-2.487802548164339,1.90365e-05
76,5.521940213497854e-06,1.0448374441432727e-06,66.1682003672278,27021.699348222577,999999999.9999999,7.2954,13.5862,-17.4745,22.65419132413298,14.100658300503907,2.60039e-05
77,8.282910320246781e-06,5.224187220716363e-07,70.08259041225972,40532.549022333864,999999999.9999999,-0.7604838,16.3251,-15.8102,23.02330220003242,7.104592554090338,3.51433e-05
79,6.70427823044617e-06,1.1754421246611818e-06,52.56194280919479,91198.2353002512,999999999.9999999,-0.5452994999999999,21.656,-32.5625,22.88486672708235,13.866871173856333,2.7424399999999998e-05
80,3.860121570196114e-06,1.7631631869917727e-06,41.91918507347776,45599.1176501256,999999999.9999999,-0.5417441000000001,16.0683,-20.7522,24.633106575710375,8.168596849937716,1.87924e-05
81,5.790182355294172e-06,8.815815934958863e-07,36.158643912814206,68398.6764751884,999999999.9999999,2.894,19.5043,-15.7256,25.15511675038267,13.27203760891052,2.50289e-05
82,3.4915954833786673e-06,1.3223723902438295e-06,49.50507886278325,102598.0147127826,999999999.9999999,2.161,19.6547,-37.6329,24.55194529622867,15.293673817344178,1.57955e-05
84,3.0237934517404777e-06,9.91779292682872e-07,37.12880914708744,76948.51103458696,999999999.9999999,-0.9532929,17.6299,-16.4742,26.50066183270601,8.622942668830639,1.4330899999999999e-05
85,4.5356901776107166e-06,1.487668939024308e-06,55.69321372063116,55902.00853507524,999999999.9999999,2.433,17.9124,-25.9039,23.03720427888699,14.088364252256266,2.1093399999999997e-05
86,6.803535266416074e-06,7.43834469512154e-07,52.57269126040421,83853.01280261287,999999999.9999999,-0.4870367,20.8369,-32.4664,23.52790684577765,12.395908184807388,2.7831499999999996e-05
87,4.9156274207620696e-06,1.1157517042682309e-06,42.081783165986046,125779.5192039193,999999999.9999999,0.45316500000000004,21.7993,-20.9951,24.849089886952488,14.350408742747256,2.0263799999999997e-05
88,3.8334149613079185e-06,1.6736275564023463e-06,63.122674748979065,62889.759601959646,999999999.9999999,-0.762405,17.7727,-19.0068,22.91858463996796,11.52917689305383,1.8133299999999998e-05
89,5.750122441961878e-06,8.368137782011732e-07,43.22170229657608,94334.63940293947,999999999.9999999,0.6966799,21.048,-22.3552,24.54075288417686,13.43649432957001,2.38931e-05
90,3.8139558076150524e-06,1.2552206673017597e-06,47.90179530818836,138864.22644961352,999999999.9999999,-0.571601,21.0804,-31.5937,24.784951447004882,13.62407981629189,1.6271299999999998e-05
91,5.7209337114225785e-06,1.8828310009526395e-06,71.85269296228255,69432.11322480676,999999999.9999999,1.2907,19.9811,-15.2058,21.25508499207083,16.029402576782253,2.52346e-05
92,4.814790121141581e-06,9.414155004763198e-07,35.92634648114127,34716.05661240338,999999999.9999999,8.8522,14.5693,-15.5509,25.69358891537236,14.181786064705996,2.26874e-05
93,7.222185181712371e-06,4.707077502381599e-07,53.889519721711906,52074.08491860507,999999999.9999999,0.240569,17.291,-29.0982,24.431460542126135,8.265735923696736,3.05496e-05
94,7.224871201782675e-06,7.060616253572399e-07,40.647224581587224,78111.1273779076,999999999.9999999,0.6656203,20.5753,-19.445,24.66562367822428,11.891743228799966,2.9501299999999998e-05
95,5.401789672117764e-06,1.0590924380358598e-06,49.61547398972298,117166.6910668614,999999999.9999999,-0.38785230000000004,21.8733,-37.9022,23.90698171168232,14.152793424571076,2.20972e-05
97,4.0513422540883225e-06,2.3829579855806845e-06,39.08282006489262,87875.01830014605,999999999.9999999,0.6471582,18.9234,-18.0,24.656616189809096,12.253406247589595,1.8515799999999996e-05
100,4.142976046794849e-06,2.68082773377827e-06,43.9681725730042,32953.13186255477,999999999.9999999,-2.9331,14.6382,-23.2237,23.886115144755422,4.662488852610734,2.07696e-05
101,6.214464070192273e-06,1.340413866889135e-06,52.93172928749793,49429.69779383216,999999999.9999999,4.279,18.4975,-31.7292,22.533234633057056,15.826512060768003,2.7803899999999996e-05
