Corner,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
tsmc065_ff,104.0,0.7583571,0.3474599,0.1950472,0.00147948,1.0,0.00147948,0.0008188884,0.01432531,0.001890004,0.3081258,0.05699198,1.3177790000000002e-13,7.537667e-14,10.31099,1000000000.0,-16.4017,5.387824,-2.47682486358147
tsmc065_ff,112.0,0.756095,0.3443516,0.1968729,0.001479134,1.0,0.001479134,0.0008185429,0.01404036,0.001863199,0.3025956,0.05818091,1.322277e-13,7.534570999999999e-14,10.24054,1000000000.0,-16.1007,5.493406,-2.4143967425782265
tsmc065_ff,120.0,0.7539042,0.3411877,0.1986411,0.001478937,1.0,0.001478937,0.0008183467,0.01376806,0.001837713,0.2970511,0.05936359,1.326655e-13,7.531548e-14,10.17004,1000000000.0,-15.8142,5.598846,-2.3512508832783396
tsmc065_ss,-40.0,0.7213233,0.6142794,0.2249624,0.001345065,1.0,0.001345065,0.0006845392,0.01780248,0.001844317,0.5519187,0.0370387,1.168201e-13,6.685801e-14,13.75719,1000000000.0,-15.6565,3.012623,-4.96011912021379
tsmc065_ss,-32.0,0.7152181,0.6144323,0.2298907,0.001343241,1.0,0.001343241,0.0006827158,0.01738324,0.001813907,0.5470966,0.03831893,1.176926e-13,6.682829e-14,13.72153,1000000000.0,-15.261,3.100773,-4.953227135867955
tsmc065_ss,-24.0,0.7092675,0.6145136,0.2346942,0.001341554,1.0,0.001341554,0.0006810291,0.01696874,0.001784213,0.5422521,0.03959877,1.185621e-13,6.67982e-14,13.6769,1000000000.0,-14.8783,3.192328,-4.9412406501603385
tsmc065_ss,-16.0,0.7034708,0.6145149,0.2393733,0.001339994,1.0,0.001339994,0.0006794678,0.01656188,0.001755408,0.5373848,0.04087798,1.194242e-13,6.676795e-14,13.62474,1000000000.0,-14.5102,3.286851,-4.925169145151358
tsmc065_ss,-8.0,0.6978334,0.6144219,0.243924,0.001338537,1.0,0.001338537,0.0006780101,0.01616442,0.001727567,0.5324927,0.04215623,1.202751e-13,6.673772e-14,13.56615,1000000000.0,-14.1577,3.383992,-4.905806789053102
tsmc065_ss,0.0,0.692322,0.6142704,0.2483728,0.001337248,1.0,0.001337248,0.0006767239,0.01577931,0.001700997,0.5275836,0.04343374,1.2111639999999998e-13,6.670758000000001e-14,13.50251,1000000000.0,-13.8215,3.483257,-4.883783831355615
tsmc065_ss,8.0,0.6870075,0.6139644,0.2526628,0.001335962,1.0,0.001335962,0.0006754349,0.01540384,0.001675219,0.5226392,0.04470916,1.219378e-13,6.66777e-14,13.43367,1000000000.0,-13.5009,3.584722,-4.859595016079616
