n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
794,0.0001002133931238023,1.9741980773982763e-05,60.49160415354882,3364.9327034305634,4000000000.0,0.4692398,0.0081762,0.8451784,0.40130540000000003,-1.6518,17.0903,-28.3234,10.173288121517041,16.867507064969175,0.00030598809999999996,0.0028445000000000002
795,8.520038235549324e-05,1.976168635707025e-05,52.059806057296946,3350.082702372115,4000000000.0,0.460235,0.0063249000000000005,0.8929992,0.40102370000000004,1.2214,16.5246,-26.5426,11.02166255700051,18.809831997475463,0.0002687006,0.0025957
796,0.00010650047794436655,1.8878862248555197e-05,65.07475757162118,3427.2508457052513,4000000000.0,0.4749674,0.0090884,0.8213863,0.40144830000000004,-2.7649,17.3608,-24.0223,9.876259885865103,16.1601810912884,0.0003200076,0.0029063
797,9.836436608010844e-05,1.902795704300549e-05,60.41804153499731,3429.7364547844077,4000000000.0,0.46995260000000005,0.0080137,0.8450513,0.4012849,-1.5149,17.1127,-28.3101,10.255293898714724,17.017627195561687,0.0003003027,0.0027848
798,8.185127762268661e-05,1.9049222541749656e-05,50.91768744031903,3421.4562542172034,4000000000.0,0.4598261,0.0059806,0.8981846000000001,0.40097530000000003,-1.1736,16.4784,-25.4237,11.230402192656346,16.300474387897772,0.0002590985,0.002509
799,0.00010231409702835827,1.9204030848343863e-05,63.64710930039878,3496.0650293585436,4000000000.0,0.4719245,0.008621499999999999,0.8264399,0.40137680000000003,-2.4116,17.2874,-25.0718,10.01608954277505,16.435066211753664,0.0003091032,0.0028373
800,9.175550740147934e-05,1.9261008198407723e-05,57.523482791757985,3485.5876280649723,4000000000.0,0.4655807,0.0072619,0.8599154999999999,0.4011701,0.1279323,16.9272,-30.7203,10.55393028843833,18.397987298467115,0.0002833992,0.0026728
801,9.719142837696486e-06,3.2093069902717884e-05,37.5,1250.0,5000000000.0,0.3482388,0.0008632098999999999,1.2712,0.39808210000000005,-14.6733,6.1448,-15.0804,15.41036589933645,-3.112324529715103,4.25593e-05,0.0005779530999999999
802,1.2148928547120607e-05,3.283400782251227e-05,46.875,1562.5,5000000000.0,0.356078,0.0012868,1.2571,0.3989917,-14.3488,8.8966,-21.5899,12.59702775462375,2.069553566921053,5.14821e-05,0.000684148
803,1.5186160683900759e-05,3.278415445778349e-05,58.28933417748098,1953.125,5000000000.0,0.3651109,0.0018857,1.2368,0.4001783,-45.6116,7.9553,-27.6314,14.460029556949433,-32.87795345185534,6.17973e-05,0.0007992847
804,1.138962051292557e-05,2.4588115843337617e-05,43.717000633110736,2441.40625,5000000000.0,0.3646722,0.0011083,1.2381,0.3986296,-13.5515,11.4148,-19.2531,12.236662334599162,6.092931128504027,4.77636e-05,0.0006248215
805,1.4115411035629039e-05,2.3090137387545382e-05,44.435285425543306,2970.840462788854,5000000000.0,0.3755537,0.0013315,1.211,0.3991136,-12.0328,13.7968,-19.3986,10.86538492739528,10.677618228898366,5.7305399999999995e-05,0.0007290709
806,1.76442637945363e-05,2.120908267724915e-05,45.525668164744474,3442.768584176159,5000000000.0,0.3878763,0.0016136,1.178,0.3996973,-44.4777,15.7887,-19.8445,9.78345634511995,-19.389888228417927,6.901519999999999e-05,0.0008491409999999999
807,1.3233197845902225e-05,1.5906812007936862e-05,34.144251123558355,4303.4607302201985,5000000000.0,0.38755480000000003,0.000942214,1.1813,0.39835149999999997,-10.0706,15.9206,-13.1688,11.89884273174071,13.981755696217293,5.307679999999999e-05,0.0006594542
808,1.5356364241598715e-05,1.4017981831256882e-05,42.68031390444794,5074.365464021583,5000000000.0,0.39886790000000005,0.0012889,1.1468,0.39906400000000003,-9.6052,17.5919,-18.3168,10.372663318787822,17.29709087648743,5.92205e-05,0.0007111137
809,1.7686138072715448e-05,1.2940017518331186e-05,43.3571311217438,5411.714728410801,5000000000.0,0.40797100000000003,0.0014481,1.1192,0.39938830000000003,-9.8302,18.7305,-18.6464,9.91014669171998,18.22511441005868,6.641119999999999e-05,0.0007762517
810,1.8189651289216797e-05,1.2590358884070121e-05,43.71243091079182,5470.932812404388,5000000000.0,0.4102822,0.0014879000000000001,1.1138,0.39946519999999996,-10.0094,18.9666,-18.8889,9.816011994924011,18.29085780886829,6.789749999999998e-05,0.0007883723
811,1.8360874851327446e-05,1.2329759882830792e-05,44.0288886025809,5501.57438290388,5000000000.0,0.4115469,0.0015065,1.1117,0.3994996,-10.1105,19.0753,-19.1355,9.774965720569273,18.315494875475196,6.83495e-05,0.0007909163999999999
812,1.8457037283907728e-05,1.216828325745532e-05,44.31678174511454,5519.574958266638,5000000000.0,0.4123228,0.0015203,1.1106,0.3995251,-10.1809,19.1383,-19.3658,9.74382046524057,18.327565241056675,6.85916e-05,0.0007920544
813,1.8472790232734757e-05,1.2009789024064423e-05,44.471769565935794,5535.809205780366,5000000000.0,0.4129071,0.0015248,1.1102,0.3995325,-10.2213,19.1786,-19.5004,9.735819634087386,18.336631738227528,6.85882e-05,0.0007908799
